Fx [N], Fy [N], Fz [N], Mx [Nm], My [Nm], Mz [Nm]
0.448591, -0.155796, -2.39746, -0.220214, -0.056058, -0.01407
0.456615, -0.177109, -2.59844, -0.238058, -0.064302, -0.000298
0.469863, -0.186723, -2.81955, -0.218433, -0.085859, 0.010005
0.490836, -0.205303, -3.12522, -0.210417, -0.074658, 0.022766
0.502666, -0.217803, -3.4632, -0.217542, -0.07744, 0.033284
0.534119, -0.241877, -3.81157, -0.242484, -0.098425, 0.032081
0.55621, -0.263931, -4.05931, -0.279675, -0.134138, 0.029341
0.572057, -0.285711, -4.31162, -0.277586, -0.160298, -0.002559
0.626866, -0.317874, -4.54974, -0.277236, -0.115429, -0.022503
0.659154, -0.339503, -4.7899, -0.227473, -0.082483, -0.052708
0.695314, -0.370453, -5.13604, -0.113744, -0.000314, -0.060425
0.717679, -0.386807, -5.37647, 0.023843, 0.093846, -0.026787
0.737052, -0.392144, -5.58887, 0.123348, 0.158628, 0.005931
0.758654, -0.390813, -5.92494, 0.177725, 0.24551, 0.097461
0.777981, -0.386264, -6.25612, 0.197034, 0.325433, 0.145671
0.801074, -0.384757, -6.52231, 0.221609, 0.359645, 0.128334
0.823865, -0.377368, -6.83524, 0.235221, 0.428385, 0.098344
0.839554, -0.381675, -7.08572, 0.232043, 0.435957, 0.065031
0.831273, -0.390862, -7.50319, 0.174295, 0.376185, 0.036601
0.832553, -0.406639, -7.83084, -0.065502, 0.327309, 0.004468
0.839823, -0.426764, -7.97463, -0.149078, 0.351901, -0.01944
0.855447, -0.472196, -8.05792, -0.197057, 0.289858, -0.054467
0.860181, -0.541703, -8.14327, -0.226526, 0.195642, -0.102255
0.881593, -0.608393, -8.35478, -0.23028, 0.090292, -0.124039
0.929203, -0.68637, -8.68729, -0.210891, 0.001214, -0.155757
0.980346, -0.751432, -8.93828, -0.146327, -0.073549, -0.233873
1.05369, -0.811374, -9.35866, -0.027612, -0.101274, -0.240124
1.14437, -0.861129, -9.84031, 0.095421, -0.126553, -0.109529
1.21404, -0.887881, -10.1644, 0.223782, -0.081808, -0.036329
1.29723, -0.907419, -10.542, 0.384845, 0.042105, -0.008429
1.38653, -0.9158, -10.874, 0.537422, 0.199227, -0.005131
1.43508, -0.886331, -11.0606, 0.645866, 0.376279, -0.054071
1.48214, -0.86964, -11.2381, 0.711603, 0.549206, -0.058893
1.53122, -0.840439, -11.4535, 0.74886, 0.698694, -0.043305
1.564, -0.820342, -11.6882, 0.786891, 0.83806, 0.004266
1.58708, -0.791302, -11.8091, 0.81832, 0.976983, 0.013852
1.63221, -0.75345, -12.0634, 0.823075, 1.152, -0.073869
1.67323, -0.721046, -12.2157, 0.766136, 1.38911, -0.093508
1.65648, -0.676357, -12.2055, 0.699191, 1.53135, -0.060829
1.66887, -0.666626, -12.4926, 0.654973, 1.66816, -0.008422
1.64454, -0.661453, -12.5437, 0.559862, 1.77625, -0.020271
1.5765, -0.655098, -12.4776, 0.505906, 1.79508, -0.117056
1.54495, -0.673338, -12.6932, 0.53454, 1.84665, -0.13166
1.47349, -0.668371, -12.6535, 0.551045, 1.83445, -0.166669
1.3926, -0.680665, -12.5928, 0.582504, 1.78244, -0.174733
1.33966, -0.681894, -12.7193, 0.654547, 1.71797, -0.184042
1.29405, -0.67066, -13.0466, 0.725132, 1.68399, -0.167042
1.25936, -0.65412, -13.3305, 0.742896, 1.60742, -0.176014
1.20485, -0.62168, -13.5352, 0.762254, 1.43265, -0.165531
1.19317, -0.587047, -13.9379, 0.737191, 1.28477, -0.168156
1.20322, -0.55809, -14.2905, 0.695064, 1.23949, -0.167175
1.24477, -0.49341, -14.5047, 0.635064, 1.31514, -0.168777
1.28621, -0.437249, -14.686, 0.559653, 1.437, -0.140624
1.29699, -0.356748, -14.7924, 0.456131, 1.5408, -0.001461
1.2944, -0.292237, -14.7926, 0.308785, 1.61911, 0.030277
1.2471, -0.218813, -14.8586, 0.128214, 1.59672, 0.083098
1.18917, -0.17128, -14.964, -0.005129, 1.58041, -0.007744
1.12743, -0.140712, -15.0439, -0.139695, 1.51753, -0.13831
1.05682, -0.145127, -14.9945, -0.256165, 1.39203, -0.176679
0.985657, -0.183719, -14.9363, -0.292886, 1.23882, -0.20408
0.933713, -0.240367, -14.7463, -0.258563, 1.07726, -0.206478
0.887391, -0.308995, -14.6829, -0.175447, 0.953775, -0.208062
0.864893, -0.376882, -14.7529, -0.074757, 0.867156, -0.223482
0.849928, -0.43435, -14.7061, 0.026377, 0.817849, -0.237511
0.843076, -0.478864, -14.7074, 0.128843, 0.796188, -0.231967
0.829755, -0.502932, -14.8792, 0.209116, 0.838852, -0.192945
0.838094, -0.517079, -15.0167, 0.25227, 0.915332, -0.134767
0.844058, -0.531534, -15.3244, 0.359094, 0.978309, -0.136054
0.831286, -0.536786, -15.4891, 0.351975, 0.922574, -0.208624
0.795683, -0.553728, -15.6847, 0.342245, 0.792893, -0.239461
0.766687, -0.57977, -16.0286, 0.352759, 0.61271, -0.24684
0.779507, -0.592261, -16.1953, 0.352788, 0.583173, -0.231058
0.797865, -0.615743, -16.2542, 0.39336, 0.613656, -0.260836
0.807277, -0.631013, -16.232, 0.427022, 0.693698, -0.259582
0.810714, -0.645003, -16.2737, 0.424823, 0.737683, -0.147193
0.821463, -0.654669, -16.5452, 0.501884, 0.803314, -0.05903
0.838422, -0.67772, -16.7336, 0.652422, 0.864248, -0.128338
0.81952, -0.674963, -16.6869, 0.773547, 0.767467, -0.141167
0.81171, -0.671952, -16.8184, 0.850563, 0.591766, -0.024192
0.831962, -0.64656, -17.0844, 0.765308, 0.567436, -0.012704
0.856104, -0.638653, -17.067, 0.637661, 0.559481, -0.02101
0.880384, -0.638281, -17.0919, 0.513178, 0.563862, -0.028185
0.892693, -0.658791, -17.0919, 0.457024, 0.574456, -0.022332
0.925795, -0.675341, -17.2952, 0.477304, 0.654034, -0.014557
0.955338, -0.698106, -17.2373, 0.472336, 0.767837, -0.027556
0.993094, -0.698804, -17.2391, 0.569114, 0.921947, -0.191388
1.01028, -0.720439, -17.56, 0.846318, 1.1035, -0.17075
1.00892, -0.686658, -17.6734, 0.977214, 1.15659, -0.038393
0.993424, -0.627194, -17.8967, 0.882317, 1.12436, -0.012405
0.998432, -0.516131, -18.4129, 0.728561, 1.14336, 0.003679
