Fx [N], Fy [N], Fz [N], Mx [Nm], My [Nm], Mz [Nm]
0.361373, -0.063013, -1.1095, -0.401181, -0.064692, -0.086534
0.364236, -0.06015, -1.11743, -0.370126, -0.056911, -0.084802
0.365354, -0.062257, -1.10332, -0.368877, -0.066703, -0.085149
0.346522, -0.062014, -1.10139, -0.358912, -0.070844, -0.092671
0.352892, -0.062246, -1.12769, -0.377667, -0.09213, -0.096032
0.353474, -0.062278, -1.19802, -0.357231, -0.101122, -0.094167
0.346741, -0.065007, -1.21423, -0.358341, -0.102945, -0.099496
0.34117, -0.066851, -1.28467, -0.366024, -0.093094, -0.097816
0.342004, -0.062997, -1.3505, -0.343684, -0.097082, -0.075215
0.333907, -0.062422, -1.37074, -0.359182, -0.091728, -0.077712
0.33897, -0.061582, -1.39534, -0.379646, -0.090058, -0.092238
0.335486, -0.061329, -1.4115, -0.388617, -0.109332, -0.094735
0.335187, -0.060464, -1.42556, -0.408858, -0.131476, -0.091662
0.331716, -0.061416, -1.43145, -0.420661, -0.141565, -0.084692
0.332254, -0.061665, -1.49573, -0.402621, -0.162422, -0.083007
0.32365, -0.06855, -1.53807, -0.387414, -0.181467, -0.091874
0.322506, -0.069689, -1.63462, -0.340008, -0.184162, -0.096272
0.321201, -0.078472, -1.7773, -0.310098, -0.175633, -0.091144
0.260625, -0.0884, -1.89739, -0.363416, -0.295311, -0.070531
0.31349, -0.079971, -2.28272, -0.364304, -0.240524, -0.092269
0.289839, -0.086373, -2.59798, -0.309873, -0.26482, -0.072181
0.314268, -0.08896, -2.97606, -0.312848, -0.350056, -0.057603
0.327428, -0.041234, -3.49134, -0.396639, -0.325077, -0.027264
0.295731, -0.141237, -4.02559, -0.252336, -0.33172, -0.019542
0.279244, -0.134503, -4.48064, -0.292936, -0.3588, -0.017991
0.258915, -0.139659, -4.98532, -0.330121, -0.375441, -0.074965
0.277061, -0.178866, -5.35094, -0.316037, -0.299955, -0.12868
0.272246, -0.223641, -5.70543, -0.301461, -0.243567, -0.143072
0.262658, -0.269379, -6.11201, -0.255217, -0.205555, -0.153444
0.239001, -0.317347, -6.54874, -0.188983, -0.172349, -0.167574
0.211362, -0.363071, -6.98918, -0.105495, -0.154392, -0.171994
0.156351, -0.386393, -7.45349, -0.005626, -0.123818, -0.165428
0.085581, -0.422395, -7.98092, 0.106878, -0.161116, -0.114672
-0.000559, -0.422945, -8.47207, 0.166047, -0.259531, -0.052983
-0.112485, -0.415402, -9.07878, 0.161039, -0.392323, -0.019729
-0.241145, -0.388319, -9.85493, 0.140498, -0.551997, 0.002104
-0.393879, -0.361634, -10.6801, 0.097654, -0.676019, -0.001846
-0.530463, -0.317229, -11.1357, 0.026862, -0.753181, -0.033002
-0.676079, -0.275222, -11.588, -0.033307, -0.816762, -0.090862
-0.821531, -0.242414, -12.0623, -0.086522, -0.889185, -0.150916
