Fx [N], Fy [N], Fz [N], Mx [Nm], My [Nm], Mz [Nm]
0.523442, -0.008285, -0.570854, -0.487047, 0.174246, -0.063824
0.521685, -0.005404, -0.625373, -0.46279, 0.183271, -0.073522
0.521573, -0.009289, -0.613653, -0.457788, 0.179393, -0.090497
0.518883, -0.009419, -0.589491, -0.48061, 0.180536, -0.087066
0.52024, -0.008812, -0.603591, -0.46895, 0.173372, -0.089433
0.521177, -0.012062, -0.593519, -0.477404, 0.174277, -0.088288
0.520841, -0.010771, -0.567454, -0.490463, 0.176847, -0.090381
0.526525, -0.004766, -0.553298, -0.485447, 0.180396, -0.086413
0.529965, 0.001286, -0.555075, -0.48721, 0.191738, -0.073756
0.524217, 0.000287, -0.540926, -0.496627, 0.181275, -0.071537
0.520932, -0.001888, -0.53082, -0.492964, 0.172315, -0.0719
0.518749, -0.002651, -0.528648, -0.495581, 0.132564, -0.067911
0.518008, -0.005035, -0.530278, -0.485264, 0.110631, -0.055402
0.515551, -0.006806, -0.534362, -0.497522, 0.086892, -0.058195
0.507589, -0.011469, -0.55049, -0.506383, 0.089683, -0.059396
0.513203, -0.009404, -0.578596, -0.510224, 0.089762, -0.054344
0.515863, -0.009258, -0.610553, -0.496552, 0.093978, -0.045075
0.515129, -0.01001, -0.679106, -0.481011, 0.080357, -0.053033
0.520874, -0.019028, -0.771855, -0.476568, 0.107525, -0.058738
0.543464, -0.020906, -0.920925, -0.476303, 0.112295, -0.059765
0.56985, -0.027641, -1.19493, -0.460398, 0.158433, -0.065681
0.627088, -0.054173, -1.64247, -0.409681, 0.241629, -0.091092
0.679914, -0.072766, -2.13818, -0.366493, 0.338912, -0.107034
0.733684, -0.101493, -2.72928, -0.314684, 0.381509, -0.077461
0.817646, -0.14219, -3.73146, -0.231566, 0.488004, -0.062577
0.882796, -0.198279, -4.84224, -0.153119, 0.585105, -0.048189
0.899999, -0.235173, -5.73548, -0.118303, 0.592492, -0.031306
0.942343, -0.268229, -6.56729, -0.141981, 0.64516, -0.038949
1.04432, -0.284456, -7.00125, -0.193164, 0.835517, -0.05511
1.17122, -0.304885, -7.37655, -0.155365, 1.16099, -0.062038
1.28695, -0.33288, -7.69407, -0.093214, 1.50477, -0.099893
1.38944, -0.352578, -7.67568, -0.044407, 1.72314, -0.1568
1.47371, -0.351825, -7.75901, 0.005585, 1.9109, -0.174124
1.53613, -0.384385, -8.07215, 0.136, 1.99079, -0.14859
1.44578, -0.445871, -8.73391, 0.364615, 1.67759, -0.118721
1.30896, -0.496947, -9.65168, 0.466559, 1.34626, -0.087891
1.19755, -0.528862, -10.533, 0.556471, 1.16381, -0.030709
1.1824, -0.522585, -11.3084, 0.567748, 1.1398, 0.040425
1.20747, -0.503538, -12.0041, 0.492327, 1.21663, 0.099524
1.21261, -0.439752, -12.3161, 0.359787, 1.30011, 0.141017
1.26241, -0.39135, -12.6519, 0.275421, 1.46406, 0.112356
1.32096, -0.372752, -12.873, 0.252123, 1.66985, -0.010565
1.30011, -0.341648, -13.1953, 0.161826, 1.69705, -0.083455
1.26635, -0.330748, -13.6291, 0.052811, 1.63194, -0.113668
1.25602, -0.317385, -13.722, -0.03223, 1.59509, -0.114508
1.21497, -0.337481, -13.8343, -0.047719, 1.41753, -0.114404
1.12209, -0.376451, -14.1619, 0.006941, 1.15905, -0.137951
1.07041, -0.43732, -14.6806, 0.037883, 1.04749, -0.138491
1.07, -0.503361, -14.6748, 0.095402, 1.08526, -0.164867
1.09389, -0.566965, -14.7272, 0.189739, 1.1143, -0.188998
1.12094, -0.640235, -14.9707, 0.31331, 1.1659, -0.213537
1.12206, -0.686906, -14.9297, 0.368747, 1.17181, -0.197781
1.16182, -0.747473, -15.294, 0.445106, 1.17971, -0.127268
1.17774, -0.813592, -15.9012, 0.635919, 1.09169, -0.055243
1.13215, -0.860041, -16.3459, 0.850186, 0.972121, -0.018391
1.11217, -0.864161, -16.7465, 0.942101, 0.928193, 0.047115
1.12108, -0.862362, -17.2231, 0.996786, 0.990535, 0.068279
1.13704, -0.834969, -17.5311, 1.03869, 1.06716, 0.076903
1.14926, -0.780396, -17.8218, 1.01597, 1.1446, 0.064021
1.19446, -0.706398, -18.4808, 0.920653, 1.3229, 0.08114
1.24045, -0.631255, -18.6495, 0.762618, 1.48402, 0.068728
1.25639, -0.534468, -18.3367, 0.584904, 1.54215, 0.070518
1.2537, -0.466498, -18.4704, 0.491509, 1.53044, 0.06122
1.24783, -0.41514, -19.0499, 0.441942, 1.49109, 0.002348
1.20996, -0.37628, -19.0637, 0.354166, 1.36991, -0.06399
1.15038, -0.355164, -18.8773, 0.181087, 1.09784, -0.007292
1.16889, -0.351829, -19.2261, 0.052872, 1.04928, -0.095191
1.12027, -0.38525, -18.8304, 0.027734, 0.993134, -0.144478
1.12302, -0.428264, -18.8121, 0.061867, 0.977234, -0.153154
1.18139, -0.495829, -18.939, 0.084305, 1.1221, -0.154853
1.22002, -0.529911, -18.6187, 0.10391, 1.26815, -0.140994
1.27034, -0.569878, -18.2453, 0.129415, 1.38462, -0.182397
1.27558, -0.60288, -17.9375, 0.221598, 1.42425, -0.208107
1.27673, -0.645182, -17.8465, 0.354782, 1.40453, -0.221362
1.21798, -0.687633, -18.3312, 0.640163, 1.24409, -0.101836
1.17194, -0.70704, -18.6255, 0.806049, 1.14788, 0.010218
1.1236, -0.689082, -18.681, 0.816387, 1.12096, 0.03943
1.12701, -0.671665, -18.9626, 0.778388, 1.17882, 0.064933
1.13731, -0.623411, -19.1557, 0.691099, 1.35018, 0.024495
1.15823, -0.58434, -18.9856, 0.526345, 1.52461, -0.057151
1.19686, -0.534715, -18.7352, 0.434913, 1.62639, -0.073709
1.20576, -0.517353, -18.5003, 0.413605, 1.61586, -0.096299
1.18021, -0.511252, -18.5159, 0.463205, 1.54377, -0.088319
1.12706, -0.503884, -18.6256, 0.50271, 1.38952, -0.067691
1.04731, -0.481541, -18.6862, 0.52976, 1.09321, -0.022935
0.992411, -0.466945, -18.9338, 0.476251, 0.903773, -0.028135
0.960946, -0.452713, -19.1503, 0.472335, 0.821333, 0.00287
0.950441, -0.428193, -19.2984, 0.399533, 0.801778, 0.056287
0.962366, -0.39493, -19.5399, 0.346045, 0.867907, 0.080967
0.982818, -0.354217, -19.3326, 0.266983, 0.972488, 0.105334
1.03071, -0.340868, -19.3573, 0.212189, 1.09144, 0.108807
1.00193, -0.31338, -19.5247, 0.143619, 1.02141, 0.103793
0.963948, -0.305217, -19.6379, 0.120928, 0.863736, -0.008523
0.979742, -0.313808, -19.9666, 0.161276, 0.890292, -0.121665
0.999797, -0.315748, -20.0782, 0.109002, 0.934211, -0.145986
0.988909, -0.293098, -20.1056, -0.088067, 0.98523, -0.076351
1.00794, -0.296746, -20.1066, -0.097117, 1.09352, 0.063283
1.06953, -0.302151, -19.9661, 0.00382, 1.31301, -0.032626
1.11411, -0.313849, -20.0951, 0.110812, 1.39541, -0.134688
1.092, -0.309633, -20.2947, 0.172772, 1.28625, -0.078789
1.03608, -0.298172, -20.2552, 0.200936, 1.07163, 0.033626
1.04752, -0.280469, -20.6091, 0.2221, 1.0471, 0.051483
1.06837, -0.270719, -20.9799, 0.168069, 1.08034, 0.050576
1.04981, -0.241697, -21.1775, -0.021616, 0.993838, 0.067273
