Fx [N], Fy [N], Fz [N], Mx [Nm], My [Nm], Mz [Nm]
0.456183, -0.022535, -1.46055, -0.491071, 0.049039, -0.076089
0.457143, -0.029238, -1.49057, -0.505811, 0.076687, -0.065533
0.477095, -0.022775, -1.55425, -0.478299, 0.089737, -0.034081
0.474268, -0.031191, -1.64445, -0.468669, 0.09204, -0.020676
0.484868, -0.032852, -1.68637, -0.451596, 0.095202, -0.00675
0.476047, -0.034326, -1.74265, -0.454383, 0.093331, -0.004152
0.472357, -0.031792, -1.8551, -0.432625, 0.086627, 0.004249
0.466979, -0.034084, -1.93562, -0.431425, 0.067495, 0.002
0.467391, -0.032436, -2.09654, -0.43094, 0.078969, 0.008996
0.477735, -0.036276, -2.20945, -0.421927, 0.097317, 0.002546
0.484447, -0.034607, -2.28224, -0.42152, 0.102457, -0.009253
0.491782, -0.037206, -2.33337, -0.432323, 0.120434, -0.039655
0.504066, -0.034777, -2.37814, -0.424835, 0.123965, -0.058964
0.506553, -0.040753, -2.5312, -0.425803, 0.141206, -0.060439
0.508028, -0.034826, -2.636, -0.416344, 0.13448, -0.066003
0.511693, -0.035491, -2.72015, -0.419242, 0.129427, -0.048438
0.519082, -0.028703, -2.925, -0.418904, 0.131133, -0.024838
0.51433, -0.028546, -3.20429, -0.42151, 0.097312, -0.003862
0.504863, -0.031984, -3.5707, -0.432733, 0.075719, -0.005751
0.500212, -0.027599, -3.88266, -0.421924, 0.051139, -0.00473
0.508218, -0.037159, -4.13665, -0.431951, 0.033662, -0.018763
0.503815, -0.052669, -4.35833, -0.446602, 0.028702, -0.029805
0.499626, -0.070615, -4.72519, -0.460447, 0.020827, -0.050956
0.497649, -0.083751, -5.172, -0.43781, 0.021527, -0.05184
0.523499, -0.109508, -5.49214, -0.39681, 0.05174, -0.059322
0.54509, -0.12877, -5.99156, -0.364337, 0.075901, -0.069229
0.539822, -0.147157, -6.5214, -0.273318, 0.053861, -0.104094
0.525923, -0.178717, -7.19957, -0.197766, 0.032266, -0.113127
0.553589, -0.185109, -7.93616, -0.113884, 0.099573, -0.108223
0.562269, -0.188407, -8.58516, -0.045873, 0.201661, -0.05749
0.597762, -0.16587, -9.49113, -0.037886, 0.356434, -0.039623
0.638106, -0.141956, -10.0897, -0.079208, 0.530286, -0.039391
0.70816, -0.093256, -10.4454, -0.164203, 0.689901, -0.054466
0.741798, -0.079955, -10.8536, -0.226248, 0.748713, -0.098468
0.726825, -0.045285, -11.3454, -0.242075, 0.708379, -0.11537
0.721059, -0.013889, -11.7276, -0.252834, 0.556285, -0.108617
0.654042, 0.030605, -12.0922, -0.300833, 0.319968, -0.040343
0.576456, 0.11503, -12.8108, -0.444425, 0.12695, -0.017438
0.555499, 0.191106, -13.0341, -0.599816, 0.096879, 0.023578
0.533012, 0.320198, -13.4494, -0.789516, 0.077784, 0.048641
0.557697, 0.467242, -14.3209, -0.986927, 0.099305, 0.036942
0.526067, 0.606309, -14.6912, -1.15316, 0.049645, 0.003598
0.533204, 0.730597, -15.199, -1.31889, 0.085584, 0.034807
0.577956, 0.839359, -15.5134, -1.54337, 0.221077, 0.095455
0.60969, 0.852116, -15.0421, -1.7137, 0.308754, 0.142302
0.620596, 0.881001, -15.338, -1.96654, 0.315453, 0.106868
0.647685, 0.807024, -15.4208, -2.1409, 0.447614, -0.051371
0.669918, 0.613239, -14.7278, -1.85821, 0.443076, -0.108532
0.711264, 0.358697, -14.551, -1.45987, 0.469277, -0.143121
0.72668, 0.058387, -14.0038, -0.960526, 0.513185, -0.205943
0.745233, -0.263952, -13.0442, -0.404654, 0.51772, -0.2113
0.765245, -0.553659, -12.6767, -0.024436, 0.48157, -0.197371
0.739482, -0.785041, -12.4588, 0.211038, 0.311406, -0.18685
0.716246, -0.943688, -12.3051, 0.314221, 0.160673, -0.131734
0.729426, -1.07767, -12.6225, 0.466121, 0.117502, -0.071443
0.768759, -1.16037, -12.7402, 0.575766, 0.120488, -0.050374
0.789375, -1.22975, -13.0795, 0.68071, 0.187664, -0.0351
0.838492, -1.28264, -13.4158, 0.712437, 0.402481, -0.116248
0.894409, -1.31304, -13.3039, 0.707647, 0.645634, -0.135268
0.901629, -1.37219, -13.3168, 0.768204, 0.727028, -0.181717
0.88753, -1.41365, -13.1676, 0.8016, 0.729991, -0.274828
