Fx [N], Fy [N], Fz [N], Mx [Nm], My [Nm], Mz [Nm]
0.441366, -0.060777, -1.65538, -0.342113, -0.013627, -0.008769
0.438678, -0.06483, -1.64747, -0.362293, -0.017515, -0.013251
0.442363, -0.066337, -1.69565, -0.351768, 0.000863, -0.007682
0.454846, -0.070187, -1.75213, -0.342722, 0.020402, -0.01137
0.467019, -0.068637, -1.82064, -0.353967, 0.055828, -0.007818
0.47485, -0.076448, -1.83626, -0.36486, 0.090643, 0.016467
0.491007, -0.072838, -1.91884, -0.34322, 0.121525, 0.016371
0.508446, -0.07212, -2.14244, -0.325583, 0.162139, 0.013046
0.524817, -0.092685, -2.4609, -0.306926, 0.203325, -0.004493
0.548994, -0.115616, -3.18572, -0.21946, 0.252989, -0.018064
0.62431, -0.142288, -4.7987, -0.176368, 0.312394, -0.032116
0.709521, -0.190238, -6.95933, -0.142589, 0.53891, -0.123076
0.724647, -0.203374, -7.58397, 0.023412, 0.589146, -0.168575
0.650414, -0.172064, -8.83386, 0.070602, 0.372312, -0.180085
0.866751, -0.026503, -10.9206, -0.106906, 0.491114, -0.04618
1.06629, 0.13993, -12.9983, -0.383625, 0.67788, 0.063336
1.422, 0.33317, -16.3918, -0.662361, 1.08929, 0.167385
2.11297, 0.560029, -21.188, -0.99008, 1.89887, 0.122064
2.5031, 0.633943, -23.7828, -1.37432, 2.63502, -0.20174
2.49554, 0.326868, -24.2237, -1.40333, 3.19698, -0.217284
2.28349, -0.528859, -23.3558, -0.189541, 2.96394, -0.178583
1.65963, -1.57708, -20.0236, 1.19773, 1.90311, -0.224867
0.927934, -1.76377, -13.5044, 0.607663, 0.779879, -0.241274
0.66872, -1.97324, -11.7201, 0.2552, 0.396476, -0.683605
0.810891, -2.70538, -14.4574, 0.92708, 0.3375, -0.377693
0.899725, -3.07838, -15.6987, 1.79781, 0.0801, 0.127854
0.996718, -3.35635, -17.3232, 3.07306, 0.053643, 0.404137
