Fx [N], Fy [N], Fz [N], Mx [Nm], My [Nm], Mz [Nm]
0.235694, -0.013622, -1.66744, 0.03238, 0.404903, 0.029899
0.222324, -0.00752, -1.76008, 0.021874, 0.393397, 0.029117
0.218311, -0.011385, -1.85063, 0.036011, 0.392157, 0.027215
0.207144, -0.010084, -2.10827, 0.063976, 0.346691, 0.021076
0.192839, -0.00965, -2.3271, 0.09403, 0.301182, 0.037459
0.164157, -0.013574, -2.66511, 0.129143, 0.27017, 0.034341
0.141886, -0.012374, -3.12803, 0.134157, 0.223688, 0.033197
0.119437, -0.013022, -3.59318, 0.133646, 0.143127, 0.020936
0.088967, -0.014436, -4.03406, 0.121669, 0.070238, 0.014756
0.06665, -0.017828, -4.73629, 0.151473, 0.004608, 0.018463
0.044848, -0.009502, -5.32115, 0.079463, -0.103209, 0.063366
0.051966, -0.009185, -5.61654, 0.053606, -0.100469, 0.092063
0.091536, -0.025683, -5.81016, 0.082901, -0.045087, 0.163653
0.12193, -0.053622, -6.10338, 0.113648, 0.017089, 0.191752
0.153993, -0.083866, -6.24614, 0.145804, 0.097155, 0.197951
0.178371, -0.118797, -6.17837, 0.169439, 0.143939, 0.165052
0.206414, -0.163423, -6.26357, 0.192528, 0.179868, 0.132061
0.224373, -0.203246, -6.29644, 0.220734, 0.245121, 0.098859
0.238326, -0.232192, -6.40561, 0.25643, 0.263794, 0.071633
0.243093, -0.28653, -6.6391, 0.316636, 0.283351, 0.055772
0.267633, -0.320421, -6.78895, 0.399962, 0.313211, 0.089731
0.266133, -0.344732, -6.96296, 0.459071, 0.367342, 0.127741
0.255806, -0.396328, -7.39016, 0.610206, 0.404695, 0.163886
0.225748, -0.442637, -8.24079, 0.68354, 0.411086, 0.181159
0.170909, -0.434757, -8.57769, 0.652016, 0.418633, 0.152214
0.101252, -0.429843, -8.36655, 0.58393, 0.405636, 0.058487
0.021849, -0.453231, -8.4342, 0.600501, 0.36207, -0.012878
-0.075029, -0.459439, -8.34191, 0.566749, 0.272597, -0.040431
-0.161223, -0.509307, -8.28846, 0.648846, 0.169006, -0.119282
-0.254379, -0.556576, -8.90106, 0.760973, 0.017037, -0.107389
-0.317153, -0.543902, -9.4838, 0.775098, -0.118621, 0.00723
-0.355871, -0.555192, -9.55085, 0.871635, -0.244012, 0.035629
-0.383957, -0.58129, -9.79907, 0.990112, -0.402929, 0.142669
