Fx [N], Fy [N], Fz [N], Mx [Nm], My [Nm], Mz [Nm]
3.4531, 5.05375, -19.5325, -2.75895, 0.257919, 0.656342
3.48385, 5.04215, -19.643, -2.74536, 0.182423, 0.661398
3.43971, 5.01512, -19.6943, -2.68828, 0.057421, 0.676684
3.33521, 4.9802, -19.7737, -2.58024, -0.126348, 0.674314
3.38301, 4.99014, -19.9606, -2.56153, -0.144342, 0.691644
3.49746, 4.96238, -20.2429, -2.54301, -0.106929, 0.681502
3.49323, 4.93994, -20.2792, -2.53087, -0.127617, 0.672604
3.43759, 4.94336, -20.2007, -2.51334, -0.164759, 0.659228
3.45, 4.92557, -20.2822, -2.4859, -0.140655, 0.613167
3.42334, 4.87291, -20.1913, -2.40714, -0.194015, 0.596225
3.286, 4.81174, -20.0179, -2.33068, -0.34325, 0.5558
3.19829, 4.7785, -19.7225, -2.31558, -0.428603, 0.506645
3.2184, 4.83785, -19.651, -2.41351, -0.38931, 0.496892
3.23007, 4.86478, -19.4371, -2.49889, -0.311677, 0.543025
3.14307, 4.81582, -19.0588, -2.49099, -0.292026, 0.601631
3.09217, 4.79615, -18.6179, -2.46088, -0.193723, 0.680596
3.05842, 4.78693, -18.1846, -2.49286, -0.084208, 0.705985
2.96191, 4.75386, -17.8377, -2.55268, -0.080003, 0.720554
2.99404, 4.74185, -17.7601, -2.57997, 0.00055, 0.777878
3.04375, 4.71113, -17.8045, -2.54398, 0.034533, 0.773618
3.02634, 4.67616, -17.8552, -2.50765, 0.045677, 0.741198
3.11215, 4.72802, -18.0303, -2.54326, 0.126504, 0.777393
3.22084, 4.80642, -18.2873, -2.65198, 0.126294, 0.766117
3.1447, 4.90278, -18.2832, -2.76098, -0.002147, 0.702313
3.1107, 4.96965, -18.1498, -2.87156, 0.009802, 0.667122
3.22022, 5.01771, -18.2319, -2.96016, 0.099709, 0.641772
3.27141, 5.02514, -18.2443, -2.9607, 0.165773, 0.642247
3.18393, 5.03206, -18.1155, -2.97234, 0.075024, 0.625146
3.20741, 5.05224, -18.1723, -2.9705, 0.04109, 0.611949
3.32078, 5.07392, -18.3253, -2.95291, 0.138383, 0.63597
3.36321, 5.07547, -18.3868, -2.91705, 0.218447, 0.67923
3.41155, 5.09607, -18.4586, -2.92496, 0.270144, 0.722807
3.48512, 5.09314, -18.5669, -2.88793, 0.34623, 0.748718
3.44237, 5.03958, -18.5308, -2.75868, 0.266821, 0.786964
3.39268, 4.99053, -18.4486, -2.62916, 0.231077, 0.81554
3.44485, 4.96995, -18.4618, -2.54013, 0.290959, 0.848156
3.48769, 4.9918, -18.5686, -2.52907, 0.2928, 0.850767
3.5345, 5.09222, -18.7671, -2.66834, 0.259371, 0.845828
3.60746, 5.23986, -18.9917, -2.84987, 0.304239, 0.86456
3.69835, 5.36374, -19.2332, -3.00692, 0.36766, 0.848197
3.68199, 5.42003, -19.3445, -3.05732, 0.332422, 0.839353
3.70549, 5.47546, -19.4115, -3.1163, 0.355407, 0.837507
3.79868, 5.5683, -19.5134, -3.26279, 0.516462, 0.852482
3.86207, 5.68894, -19.4481, -3.43795, 0.683176, 0.873322
3.81786, 5.81608, -19.3194, -3.61068, 0.740293, 0.832341
3.90881, 5.90013, -19.4322, -3.7339, 0.905369, 0.803129
4.00878, 5.94157, -19.672, -3.72485, 0.95117, 0.815038
4.00934, 5.91501, -19.8418, -3.61653, 0.977974, 0.848865
4.05384, 5.87022, -20.0301, -3.53925, 1.02784, 0.880249
4.12828, 5.89225, -20.1065, -3.56802, 1.12884, 0.908057
4.10775, 5.94828, -20.1011, -3.64789, 1.13298, 0.903016
4.05177, 6.00437, -20.0042, -3.72862, 1.04687, 0.92502
4.06373, 6.06949, -20.0147, -3.81, 0.974628, 0.925367
4.11516, 6.1074, -20.0923, -3.85566, 0.955818, 0.899552
4.08502, 6.11012, -20.0548, -3.76385, 0.886964, 0.932483
4.08281, 6.06071, -20.0382, -3.70287, 0.843372, 0.927882
