Fx [N], Fy [N], Fz [N], Mx [Nm], My [Nm], Mz [Nm]
0.877444, 0.087683, -8.44448, 0.220829, 0.520421, 0.004024
0.904925, 0.047622, -8.5906, 0.28958, 0.526654, 0.025415
0.918528, -0.020039, -8.68234, 0.405218, 0.563711, 0.035404
0.932509, -0.039595, -8.80105, 0.427161, 0.608508, 0.036223
0.925262, -0.040322, -8.6626, 0.36321, 0.626841, 0.026789
0.903729, -0.034616, -8.49417, 0.318935, 0.61604, 0.00226
0.908046, -0.048365, -8.43669, 0.280124, 0.60345, -0.032521
0.904573, -0.064639, -8.56337, 0.311048, 0.644657, -0.116727
0.922589, -0.11076, -8.62932, 0.434709, 0.716868, -0.116961
0.927351, -0.131888, -8.74585, 0.573213, 0.801665, -0.041212
0.921252, -0.136192, -8.83715, 0.749914, 0.80266, -0.015128
0.914647, -0.130355, -8.95397, 0.867295, 0.819562, -0.034309
0.909883, -0.107192, -9.02276, 0.910588, 0.834725, -0.050644
0.894596, -0.071701, -9.03764, 0.880109, 0.834458, -0.074376
0.875077, -0.039622, -9.13569, 0.8067, 0.823798, -0.119755
0.868687, 0.012426, -9.36762, 0.661923, 0.779539, -0.193395
0.849915, 0.01736, -9.41018, 0.545665, 0.686121, -0.194518
0.84598, -0.000649, -9.45033, 0.440684, 0.565223, -0.185566
0.870918, -0.034984, -9.61453, 0.422841, 0.505559, -0.152889
0.896494, -0.083074, -9.68262, 0.414601, 0.422992, -0.062968
0.934898, -0.117655, -9.66906, 0.405671, 0.350297, -0.005369
0.97345, -0.171752, -9.55712, 0.490601, 0.299718, 0.023461
1.01975, -0.203626, -9.40157, 0.528764, 0.250975, 0.036013
1.06224, -0.196817, -9.28477, 0.544436, 0.224168, 0.039715
1.1338, -0.179773, -9.33891, 0.600375, 0.252749, 0.05438
1.20338, -0.171791, -9.39962, 0.624537, 0.32213, 0.052508
1.25001, -0.138037, -9.39025, 0.627765, 0.410431, 0.041193
1.29616, -0.100192, -9.36809, 0.649054, 0.478993, 0.055923
1.34499, -0.071557, -9.42132, 0.651977, 0.639274, 0.040851
1.37857, -0.049192, -9.48611, 0.663931, 0.834841, 0.045165
1.40638, -0.035066, -9.5537, 0.626333, 1.08616, 0.025785
1.42486, -0.007605, -9.61932, 0.563397, 1.29677, 0.007373
1.39191, 0.014495, -9.57708, 0.527278, 1.39714, -0.066823
1.37605, 0.014649, -9.68345, 0.548349, 1.46998, -0.137997
1.37171, 0.02687, -9.82687, 0.549547, 1.49114, -0.1552
1.34714, 0.029821, -9.88526, 0.540268, 1.46249, -0.158602
1.33919, 0.035559, -9.95125, 0.57295, 1.42315, -0.147398
1.32949, 0.017148, -9.9106, 0.658408, 1.32411, -0.070941
1.32164, 0.023405, -9.83452, 0.680098, 1.18759, -0.016356
1.32459, 0.044381, -9.83957, 0.67855, 1.14467, -0.057896
1.33961, 0.06572, -9.88367, 0.692771, 1.11864, -0.048017
1.36332, 0.095551, -10.0582, 0.667058, 1.12736, -0.009504
1.3955, 0.135032, -10.2169, 0.622838, 1.16055, 0.027448
1.44106, 0.185977, -10.3316, 0.592945, 1.23662, 0.052598
1.46665, 0.230209, -10.4286, 0.521687, 1.36585, 0.069794
1.48113, 0.300629, -10.4859, 0.465748, 1.43738, 0.060556
1.47555, 0.361583, -10.4412, 0.380899, 1.47465, 0.017447
