Fx [N], Fy [N], Fz [N], Mx [Nm], My [Nm], Mz [Nm]
1.01904, 0.743252, -7.79095, -0.584861, 0.526816, -0.099496
1.06465, 0.732569, -7.86101, -0.605398, 0.650612, -0.067049
1.10472, 0.716258, -8.05528, -0.592044, 0.749196, -0.017615
1.14979, 0.712973, -8.63934, -0.566598, 0.801674, -0.021855
1.15848, 0.707155, -9.31225, -0.451976, 0.710417, 0.018178
1.18025, 0.698508, -10.0011, -0.2956, 0.698632, 0.06612
1.22576, 0.728963, -10.7443, -0.203791, 0.764082, 0.053627
1.26243, 0.762165, -11.4032, -0.227124, 0.808076, -0.037921
1.28335, 0.777108, -11.8307, -0.347524, 0.896806, -0.120724
1.31969, 0.794325, -12.2848, -0.584143, 1.0245, -0.114991
1.34827, 0.791929, -12.7979, -0.738509, 1.03847, -0.074632
1.40366, 0.752562, -13.413, -0.733163, 1.16242, -0.112402
1.483, 0.706933, -13.8741, -0.699154, 1.40296, -0.104663
1.5765, 0.714995, -14.2822, -0.641776, 1.7386, -0.049148
1.65176, 0.741972, -14.4843, -0.425523, 1.95294, -0.088375
1.60789, 0.804727, -14.593, -0.277062, 1.83188, -0.025665
1.54241, 0.907277, -15.0364, -0.301763, 1.58304, 0.119701
1.46141, 1.04161, -15.8205, -0.428137, 1.35501, 0.185832
1.41036, 1.17557, -16.5091, -0.580739, 1.21851, 0.215692
1.41676, 1.24798, -16.755, -0.82601, 1.26771, 0.174705
1.42692, 1.24267, -16.5765, -1.37175, 1.31065, -0.017935
1.43877, 1.0782, -16.0742, -1.34295, 1.33677, -0.095777
1.5436, 0.841355, -15.861, -1.08485, 1.49229, -0.165662
1.66112, 0.565205, -15.5272, -0.708513, 1.58411, -0.186819
1.67033, 0.276471, -15.1493, -0.263504, 1.34496, -0.180615
1.67099, 0.000504, -15.1097, 0.102587, 1.13182, -0.164541
1.78646, -0.206522, -15.1471, 0.32827, 1.1594, -0.188954
1.82057, -0.334419, -14.6898, 0.431136, 1.17263, -0.212139
1.82444, -0.45338, -14.434, 0.575665, 1.10157, -0.169877
1.87688, -0.57456, -14.9108, 0.862747, 1.1416, -0.044279
1.93474, -0.621949, -15.1851, 1.18591, 1.42526, 0.071002
1.99563, -0.632407, -15.6603, 1.48736, 1.85107, -0.02914
2.05831, -0.565302, -15.9389, 1.48065, 2.27365, -0.09596
2.10083, -0.441069, -16.002, 1.42471, 2.53936, -0.067887
2.04887, -0.323425, -16.1918, 1.43494, 2.49749, 0.003528
1.87869, -0.244152, -16.8423, 1.44122, 2.18666, 0.052649
1.75783, -0.150315, -17.5534, 1.32896, 2.01272, 0.040859
1.77827, 0.014945, -17.905, 0.999677, 2.23208, 0.003082
1.79835, 0.167572, -17.6898, 0.688274, 2.36623, -0.000927
1.70779, 0.249979, -17.4367, 0.580441, 2.19204, -0.018885
1.58192, 0.326931, -17.6998, 0.522907, 1.9427, 0.000567
1.55632, 0.474092, -18.2435, 0.314276, 1.88337, 0.048235
1.50671, 0.637245, -18.5723, 0.036677, 1.83346, 0.003396
1.45178, 0.771516, -18.5215, -0.27453, 1.82768, -0.080615
1.46878, 0.874421, -18.5059, -0.509419, 1.90055, -0.037781
1.44685, 0.97567, -18.5972, -0.668336, 1.79687, 0.137175
1.3615, 1.04804, -18.6608, -0.871104, 1.61377, 0.194146
1.33589, 1.07149, -18.6928, -1.0332, 1.67816, -0.021237
1.31364, 1.0365, -18.5447, -1.19605, 1.49398, -0.227641
1.34221, 0.938562, -18.3287, -1.12714, 1.38572, -0.15048
1.37064, 0.811988, -17.9645, -0.87916, 1.29312, 0.032871
1.35305, 0.723535, -17.8533, -0.591171, 1.17703, 0.061745
1.35926, 0.691611, -18.0076, -0.350674, 1.13379, -0.036554
1.39759, 0.725111, -18.2261, -0.187087, 1.38569, 0.005535
1.47689, 0.858737, -18.0922, -0.452251, 1.77311, 0.154415
1.49646, 0.972212, -18.2443, -0.673348, 1.83243, 0.16973
1.44236, 1.03385, -18.7308, -0.743624, 1.66783, 0.119351
1.40866, 1.03694, -18.8818, -0.92935, 1.64548, -0.112759
1.37054, 0.982505, -18.7686, -1.19483, 1.46347, -0.166025
1.42321, 0.871022, -18.7542, -1.09686, 1.54038, -0.090948
1.53574, 0.728327, -18.3964, -0.884827, 1.72507, -0.063055
1.59711, 0.579899, -18.2424, -0.566826, 1.68436, -0.181509
1.52953, 0.428301, -18.2734, -0.115519, 1.40041, -0.169765
1.46141, 0.371221, -18.2922, 0.132204, 1.30224, 0.073556
1.56679, 0.43946, -18.4063, 0.074669, 1.80329, 0.170411
1.69212, 0.545725, -18.4559, -0.096111, 2.26517, -0.042505
1.62627, 0.607358, -18.2857, -0.141848, 2.09339, -0.167246
1.49441, 0.635281, -18.7729, -0.090434, 1.77638, -0.123974
1.43958, 0.69483, -19.3255, -0.184331, 1.68407, 0.102486
1.41844, 0.778235, -19.3098, -0.431847, 1.72853, 0.142798
1.44598, 0.804894, -19.3635, -0.688149, 1.9005, -0.027429
1.49767, 0.817078, -19.3233, -0.807954, 1.91702, -0.171648
1.43975, 0.775155, -19.3611, -0.753113, 1.60158, -0.110142
1.35006, 0.694877, -19.8742, -0.441585, 1.21654, 0.054829
1.31328, 0.65391, -20.0361, -0.295373, 1.19715, 0.067939
1.41271, 0.715586, -19.7365, -0.375848, 1.74413, -0.046155
1.53765, 0.807781, -19.6942, -0.583003, 2.08106, -0.126943
1.44915, 0.798904, -20.1207, -0.427347, 1.65159, -0.178476
1.29984, 0.755604, -20.3734, -0.26488, 1.15798, 0.031803
1.27776, 0.796657, -20.5454, -0.418419, 1.24783, 0.198073
1.36116, 0.852266, -20.5708, -0.72658, 1.56837, 0.155228
1.49291, 0.858998, -20.5527, -0.998487, 1.83111, -0.111035
1.54522, 0.753636, -20.1065, -0.86039, 1.75454, -0.179355
1.46714, 0.622604, -19.8669, -0.542513, 1.3929, -0.033572
1.45249, 0.491289, -20.2132, -0.241756, 1.29996, 0.055997
1.55351, 0.450083, -20.2822, -0.317928, 1.59683, -0.018179
1.71772, 0.469623, -19.5423, -0.3836, 2.16601, -0.155709
1.73127, 0.458506, -19.5815, -0.16977, 2.09406, -0.231886
1.69523, 0.413883, -20.4033, 0.126705, 1.80677, -0.075319
1.6559, 0.414061, -20.8519, 0.194035, 1.84096, 0.099318
1.71973, 0.48306, -20.9578, -0.09093, 2.27508, 0.058206
1.84022, 0.500487, -21.1545, -0.355471, 2.44837, -0.184853
1.83055, 0.448483, -21.0456, -0.261074, 2.29581, -0.214405
1.79705, 0.397711, -21.2279, -0.094632, 1.99243, 0.01984
1.74211, 0.346522, -21.8458, 0.261513, 1.75883, 0.020696
1.66556, 0.335769, -22.0093, 0.350446, 1.70765, 0.058963
1.73898, 0.406838, -21.4221, 0.177543, 2.11881, 0.111345
1.80937, 0.466176, -21.4786, 0.148469, 2.3176, -0.112813
1.75638, 0.484956, -21.9088, 0.165293, 2.12577, -0.104772
1.68268, 0.497112, -22.059, 0.136981, 1.99099, 0.087126
1.64152, 0.52499, -22.0545, -0.061085, 1.96399, 0.136894
1.68277, 0.516858, -22.2884, -0.307897, 1.97104, -0.174325
1.70084, 0.450444, -22.1968, -0.310711, 1.97036, -0.227559
1.69653, 0.358111, -21.9019, -0.19632, 1.91407, -0.057389
1.68994, 0.307925, -21.7492, 0.048099, 1.84787, 0.047104
1.67408, 0.29542, -22.0372, 0.316875, 1.78929, -0.009434
1.69445, 0.323655, -22.0827, 0.426147, 2.05264, -0.050216
1.70546, 0.418679, -21.7326, 0.218372, 2.2487, 0.089546
1.63557, 0.473711, -21.8754, 0.203406, 2.01169, 0.082544
1.54396, 0.505757, -22.541, 0.247918, 1.73818, -0.082291
1.46859, 0.601643, -22.3716, 0.074953, 1.68198, -0.123969
1.45407, 0.672725, -22.3486, -0.199139, 1.85403, -0.022377
1.54466, 0.720403, -23.0022, -0.606566, 2.08267, 0.024693
1.65666, 0.66725, -22.6498, -0.73188, 2.12802, -0.030009
1.56669, 0.459064, -22.1918, -0.352273, 1.65026, -0.132001
1.52321, 0.16252, -22.4807, 0.199407, 1.32825, -0.177959
1.53335, -0.067911, -22.2329, 0.471001, 1.30388, -0.083583
1.61011, -0.197112, -21.4221, 0.609335, 1.52578, -0.046331
1.77622, -0.269427, -21.495, 0.852295, 1.7459, -0.250159
1.76161, -0.29672, -21.6535, 1.26553, 1.74942, -0.213866
1.69403, -0.224694, -21.8278, 1.39441, 1.76525, 0.063984
1.7391, -0.063533, -22.6475, 1.1257, 2.05541, 0.151811
1.81741, 0.140061, -22.8667, 0.682564, 2.43301, 0.048363
1.76852, 0.227895, -22.9114, 0.524608, 2.29327, -0.196857
1.65289, 0.216417, -23.3909, 0.489853, 1.95517, -0.246534
1.64114, 0.211064, -23.594, 0.471787, 2.0537, 0.110014
1.68418, 0.253918, -23.4804, 0.422475, 2.15718, 0.090266
1.65735, 0.314947, -23.1461, 0.476062, 2.04949, -0.169376
1.50608, 0.361134, -23.2508, 0.485146, 1.79244, -0.114373
1.52998, 0.535459, -23.3245, 0.208883, 1.95129, 0.010182
1.47949, 0.800058, -23.4783, -0.172846, 1.90128, -0.004729
1.31142, 1.06141, -23.7896, -0.579899, 1.58264, 0.009878
1.15636, 1.28683, -24.4512, -0.973283, 1.27472, 0.106271
1.07755, 1.41955, -25.0013, -1.34973, 1.19284, 0.070362
1.02193, 1.39968, -24.6329, -1.58619, 1.04625, -0.256704
0.998355, 1.31041, -24.2294, -1.68735, 0.881189, -0.233476
1.13868, 1.20288, -23.9055, -1.53716, 0.936075, 0.073631
