Fx [N], Fy [N], Fz [N], Mx [Nm], My [Nm], Mz [Nm]
0.747662, 0.578347, -4.77545, -0.300222, 0.453472, 0.025885
0.762075, 0.594718, -5.11716, -0.236177, 0.494574, 0.046446
0.760755, 0.630364, -5.44957, -0.224155, 0.504388, 0.042567
0.761527, 0.667465, -5.68812, -0.252627, 0.486129, 0.011197
0.738297, 0.717907, -5.95613, -0.285358, 0.462039, -0.07429
0.698519, 0.747565, -6.34507, -0.309488, 0.3185, -0.096119
0.709519, 0.790168, -6.72978, -0.358786, 0.259488, -0.005403
0.731618, 0.841861, -7.08933, -0.445309, 0.220987, 0.052989
0.746978, 0.868478, -7.34364, -0.541248, 0.194926, 0.045957
0.770662, 0.89117, -7.52197, -0.65768, 0.172243, -0.064253
0.804426, 0.893002, -7.62982, -0.747559, 0.234462, -0.089704
0.826266, 0.898074, -7.80997, -0.821734, 0.292387, -0.026075
0.862237, 0.877249, -7.96087, -0.883703, 0.363832, -0.007207
0.891056, 0.854361, -8.12257, -0.891509, 0.417715, -0.029883
0.946741, 0.823705, -8.46542, -0.854023, 0.460214, -0.05675
1.0045, 0.770966, -8.64124, -0.799457, 0.506443, -0.093417
1.05784, 0.709602, -8.76483, -0.670933, 0.536187, -0.14954
1.14539, 0.657105, -9.06309, -0.535101, 0.582082, -0.179278
1.24613, 0.628668, -9.44172, -0.427197, 0.6544, -0.189898
1.29044, 0.605497, -9.44611, -0.29792, 0.649602, -0.139705
1.31604, 0.615321, -9.51642, -0.167972, 0.725756, 0.027074
1.38951, 0.64917, -9.88174, -0.122665, 0.931656, 0.095968
1.43094, 0.695424, -10.0893, -0.134126, 1.10664, 0.113867
1.43999, 0.744083, -10.1968, -0.184355, 1.23847, 0.107282
1.47045, 0.793482, -10.4614, -0.242229, 1.34138, 0.102561
1.47528, 0.847218, -10.6988, -0.331461, 1.41808, 0.053255
1.45697, 0.882118, -10.7765, -0.401146, 1.4606, 0.019964
1.45064, 0.916651, -10.906, -0.508154, 1.51623, 0.020276
1.41961, 0.931534, -10.7984, -0.572892, 1.50365, 0.067872
1.35117, 0.937811, -10.5459, -0.587553, 1.40947, 0.088371
1.33561, 0.968131, -10.6528, -0.600097, 1.372, 0.08645
1.33974, 0.999981, -10.9195, -0.628956, 1.38279, 0.055954
1.31255, 1.02313, -10.9488, -0.683277, 1.34408, 0.10025
1.30217, 1.02804, -11.0319, -0.701393, 1.2929, 0.077008
1.26494, 1.03046, -11.0683, -0.673889, 1.25427, -0.024532
1.2527, 1.03768, -10.9636, -0.72244, 1.24998, -0.01935
1.25247, 1.03767, -10.9532, -0.797932, 1.21727, 0.091351
1.24575, 1.04013, -11.0486, -0.854049, 1.17243, 0.062933
1.26356, 1.0583, -11.058, -1.02243, 1.21472, -0.042097
1.30037, 1.07241, -11.073, -1.1888, 1.25341, -0.046415
1.2926, 1.05314, -11.0471, -1.16566, 1.21813, 0.017978
1.28353, 1.0429, -11.0321, -1.13127, 1.20559, 0.046544
1.28681, 1.02294, -10.9827, -1.16621, 1.17137, 0.007754
1.29353, 1.0122, -11.0461, -1.14668, 1.12281, -0.04184
1.29222, 0.963224, -11.018, -1.08326, 1.05891, -0.070359
1.29302, 0.928831, -11.0645, -1.03591, 1.00725, -0.095504
1.3265, 0.895847, -11.2598, -0.989283, 1.03047, -0.104627
1.38267, 0.874797, -11.4126, -0.983297, 1.16853, -0.08494
1.41322, 0.854218, -11.2811, -0.952705, 1.26939, -0.056729
1.4215, 0.828396, -11.231, -0.91037, 1.30006, -0.072957
1.44452, 0.827806, -11.4624, -0.898113, 1.37497, -0.063374
1.47479, 0.829848, -11.7124, -0.834364, 1.49123, 0.009547
1.4728, 0.827558, -11.8409, -0.778214, 1.613, 0.024209
1.4769, 0.82581, -12.0378, -0.765743, 1.68627, 0.04347
1.47881, 0.8326, -12.1392, -0.774128, 1.76354, 0.019864
1.44453, 0.823309, -12.1105, -0.775065, 1.77612, -0.047127
1.3938, 0.81404, -12.0829, -0.72273, 1.73471, -0.090938
1.36464, 0.820157, -12.2032, -0.696059, 1.70202, -0.081698
1.33133, 0.828024, -12.264, -0.677409, 1.64455, -0.022775
1.27424, 0.841998, -12.2973, -0.659548, 1.54806, 0.004133
1.24598, 0.865238, -12.4459, -0.590433, 1.44213, 0.002965
1.19132, 0.88344, -12.7139, -0.562092, 1.25383, -0.027972
1.19463, 0.920643, -12.9612, -0.620485, 1.19623, -0.086927
1.21613, 0.959017, -13.2763, -0.683598, 1.19093, -0.110193
1.22282, 0.983931, -13.3948, -0.782091, 1.18517, -0.162656
1.23586, 0.986581, -13.4484, -0.900585, 1.174, -0.197202
1.23928, 0.99705, -13.5107, -1.03552, 1.15813, -0.167927
1.24271, 0.986869, -13.5063, -1.15271, 1.13987, -0.054218
1.28888, 0.96464, -13.5627, -1.13082, 1.18329, -0.05272
1.28567, 0.934265, -13.6866, -1.04496, 1.12076, -0.12177
1.30547, 0.9133, -13.6896, -0.959601, 1.08292, -0.098816
1.37021, 0.900978, -13.978, -0.906527, 1.11356, -0.032385
1.45385, 0.876369, -14.1381, -0.894264, 1.18321, -0.068775
1.52429, 0.832321, -14.2091, -0.819794, 1.24721, -0.182781
1.61428, 0.788211, -14.2978, -0.713926, 1.30727, -0.199873
1.71257, 0.77483, -14.521, -0.605142, 1.35422, -0.104907
1.79013, 0.768642, -14.6294, -0.578887, 1.44964, 0.001711
1.87271, 0.759455, -14.854, -0.559064, 1.60676, 0.056007
1.96003, 0.776447, -14.8557, -0.544528, 1.8934, 0.102019
1.92426, 0.770242, -14.5416, -0.504175, 2.04276, 0.101442
1.91426, 0.774794, -14.6053, -0.531343, 2.2309, 0.064147
1.90968, 0.793771, -14.8239, -0.593325, 2.38027, 0.037868
1.82681, 0.788499, -14.7104, -0.624771, 2.35625, -0.024472
1.76875, 0.781754, -14.7287, -0.635314, 2.26858, -0.131361
1.7283, 0.784519, -14.9746, -0.614766, 2.18966, -0.153978
1.67386, 0.785561, -15.158, -0.607982, 2.17247, -0.086859
1.69403, 0.796764, -15.3734, -0.567034, 2.21399, -0.084734
1.69645, 0.836054, -15.5577, -0.546218, 2.18791, -0.04517
1.62064, 0.861314, -15.3078, -0.642983, 2.10737, 0.058424
1.55425, 0.877984, -15.2578, -0.726429, 2.03445, 0.046665
1.51912, 0.918595, -15.6638, -0.777421, 2.02537, 0.001942
