Fx [N], Fy [N], Fz [N], Mx [Nm], My [Nm], Mz [Nm]
0.789406, 0.23157, -3.1473, -0.576207, 0.151124, 0.049367
0.831464, 0.264518, -3.94685, -0.563434, 0.148859, 0.046363
0.903797, 0.332872, -5.23197, -0.53572, 0.092297, 0.031772
0.991038, 0.422954, -7.07297, -0.359581, -0.156407, 0.062563
1.09297, 0.534696, -8.9619, -0.189541, -0.329546, 0.1215
1.21029, 0.675014, -10.8324, -0.161776, -0.337191, 0.235973
1.31665, 0.816259, -12.3142, -0.153108, -0.349095, 0.27191
1.30856, 0.936107, -13.0812, -0.057965, -0.547771, 0.096929
1.35085, 1.16734, -14.5994, -0.11858, -0.771235, -0.037958
1.45559, 1.52531, -16.1594, -0.333103, -0.763698, -0.083828
1.51234, 1.89599, -17.3346, -0.671355, -0.538504, 0.084101
1.55322, 2.17082, -18.3343, -0.853163, -0.31701, 0.394556
1.628, 2.45526, -19.2105, -1.38389, 0.047958, 0.802473
1.63465, 2.49438, -19.0422, -1.77456, 0.38627, 0.859297
1.59685, 2.47154, -19.0785, -2.24963, 0.493728, 0.505781
1.62217, 2.44625, -19.1264, -2.71699, 0.474784, 0.083337
1.66699, 2.3192, -18.919, -2.94481, 0.450498, -0.153075
1.76931, 2.18245, -19.1277, -2.92576, 0.334802, -0.150343
1.80405, 1.94325, -19.3384, -2.7291, 0.225891, -0.115796
1.86263, 1.72685, -18.7897, -2.61899, 0.442864, -0.104181
2.03732, 1.57212, -18.373, -2.5112, 0.702902, -0.195568
2.03589, 1.455, -18.3349, -2.2586, 0.531712, -0.275585
2.0358, 1.37116, -18.2682, -2.03301, 0.455004, -0.068663
2.15304, 1.36314, -18.609, -1.64992, 0.434141, 0.113558
2.19158, 1.38906, -19.502, -1.31083, 0.228885, 0.179758
2.21485, 1.42299, -19.9711, -1.13603, 0.111908, 0.153796
2.33348, 1.50185, -20.2059, -1.3449, 0.630986, 0.284528
2.5102, 1.60589, -20.5487, -1.86701, 1.3736, 0.182009
2.50496, 1.58355, -20.2132, -2.23638, 1.78659, -0.022682
2.45554, 1.53101, -19.7603, -2.29078, 1.89848, 0.144841
2.58446, 1.56335, -20.4691, -2.28366, 1.84193, 0.155744
2.52423, 1.50688, -20.5329, -2.09906, 1.275, -0.15878
2.37437, 1.3638, -20.0737, -1.61496, 0.556675, -0.152992
2.53278, 1.36734, -20.8757, -1.35945, 0.394054, 0.040614
2.55908, 1.35819, -20.7031, -1.27502, 0.450187, 0.094037
2.51641, 1.33692, -20.2204, -1.2455, 0.810321, 0.25588
2.7537, 1.44412, -20.5272, -1.57073, 1.65523, 0.465764
2.75627, 1.46653, -19.9028, -1.78956, 2.18736, 0.468077
2.61199, 1.3976, -19.1871, -1.61222, 2.18908, 0.451217
2.65104, 1.46069, -19.75, -1.44896, 2.23425, 0.564487
2.55399, 1.51971, -19.8491, -1.26373, 2.09662, 0.590742
2.41237, 1.63892, -20.4389, -1.05144, 1.71736, 0.540635
2.46823, 1.93301, -21.1752, -1.27493, 1.82607, 0.498505
2.37064, 2.2074, -21.0238, -1.53488, 1.88563, 0.514932
2.28967, 2.53877, -21.6414, -1.82435, 1.84641, 0.714166
2.24204, 2.89543, -22.3081, -2.17155, 1.91712, 0.910122
2.06394, 3.20325, -22.6869, -2.35642, 1.6641, 1.028
1.90002, 3.4331, -23.0881, -2.32104, 1.26039, 0.910858
1.65089, 3.56828, -23.2469, -2.28195, 0.835767, 0.791973
1.61877, 3.66242, -23.0646, -2.49852, 0.848252, 0.717881
1.59889, 3.77769, -23.032, -2.59809, 0.790601, 0.598076
1.42671, 3.72194, -22.7732, -2.74226, 0.444258, 0.609397
1.46913, 3.70157, -22.6318, -3.66717, 0.557372, 0.783561
1.63273, 3.61815, -22.4026, -4.15259, 0.888145, 0.707038
1.64869, 3.35295, -22.0815, -4.26534, 0.587487, 0.272219
1.78922, 2.88634, -21.6086, -4.0533, 0.437405, -0.192752
2.04531, 2.41352, -21.3112, -3.71538, 0.549348, -0.404805
2.23429, 1.94457, -20.6187, -3.15242, 0.514075, -0.477508
2.44382, 1.51008, -20.27, -2.61764, 0.561235, -0.512838
2.74835, 1.17896, -20.0502, -2.144, 0.74619, -0.328138
2.86008, 0.895689, -19.5539, -1.73624, 0.754263, -0.302358
2.80895, 0.708233, -18.5402, -1.48856, 0.682354, -0.429837
2.87271, 0.608259, -18.4583, -1.23884, 0.700203, -0.422754
2.90049, 0.587929, -18.4078, -0.896446, 0.752881, -0.210138
2.93121, 0.579634, -18.988, -0.515051, 1.04923, -0.091756
3.07963, 0.636358, -19.6911, -0.569316, 1.68566, -0.032317
3.1457, 0.69265, -20.1858, -0.941217, 2.22352, 0.022918
3.14147, 0.69021, -19.847, -1.35622, 2.32742, -0.051772
3.19244, 0.631545, -20.0094, -1.54695, 2.62987, -0.232057
3.26435, 0.58749, -19.5897, -1.61811, 2.68974, -0.264546
