Fx [N], Fy [N], Fz [N], Mx [Nm], My [Nm], Mz [Nm]
0.547802, 0.049774, -10.7562, -0.431563, 0.271344, 0.103576
0.554347, 0.286486, -12.3, -0.765256, 0.250955, -0.037327
0.523855, 0.421948, -13.0876, -1.09449, 0.261923, -0.154387
0.54886, 0.415402, -13.9621, -1.10038, 0.29331, -0.262849
0.575104, 0.523552, -15.4186, -1.35426, 0.41454, -0.230013
0.462581, 0.615005, -15.702, -1.58366, 0.366751, -0.088761
0.323439, 0.542014, -15.3734, -1.3933, 0.228134, -0.058068
0.185422, 0.398313, -15.617, -1.06431, -0.012654, -0.087362
-0.046677, 0.396064, -16.2092, -0.946255, -0.440404, -0.088701
-0.29549, 0.464439, -16.8081, -1.00659, -0.874051, -0.083708
-0.404969, 0.413778, -16.9034, -0.874063, -1.17859, -0.094269
-0.5564, 0.508501, -17.7481, -1.0723, -1.58426, -0.0539
-0.504723, 0.735985, -17.9055, -1.66345, -1.6582, 0.065844
-0.486291, 0.787725, -17.3881, -1.77568, -1.66463, 0.009623
-0.358514, 0.68985, -17.5595, -1.55065, -1.55468, -0.031748
-0.144466, 0.635967, -17.8776, -1.3807, -1.18359, 0.069559
-0.014829, 0.65109, -18.0555, -1.41235, -0.819748, 0.171417
0.212671, 0.73565, -18.4549, -1.57258, -0.399534, 0.239985
0.268334, 0.850873, -18.7171, -1.68442, -0.285888, 0.187188
0.345463, 0.839207, -19.3584, -1.60252, -0.165362, 0.057728
0.432844, 0.958744, -19.726, -1.93824, -0.116185, 0.015093
0.365524, 1.0464, -19.2059, -2.32559, -0.167906, -0.060795
0.431036, 1.03631, -19.7442, -2.26751, -0.078116, -0.175287
0.45527, 1.02229, -19.334, -2.34299, 0.018314, -0.176905
0.409805, 0.982538, -18.259, -2.23675, 0.137549, -0.119693
0.52282, 0.837855, -18.4452, -1.72656, 0.366679, -0.068785
0.504992, 0.872334, -18.7402, -1.73048, 0.309207, -0.026993
