Fx [N], Fy [N], Fz [N], Mx [Nm], My [Nm], Mz [Nm]
1.15355, 0.682306, -7.20357, -1.52953, 0.863394, -0.113219
0.834111, 0.596259, -7.90663, -1.41912, 0.4904, -0.145974
0.919083, 0.619019, -8.6006, -1.18795, 0.530151, -0.054266
1.05103, 0.72393, -9.20613, -1.20966, 0.595511, 0.009689
1.14902, 0.904024, -10.0746, -1.2082, 0.618708, 0.025268
1.31546, 1.16843, -11.1418, -1.31101, 0.657794, 0.024158
1.49292, 1.44956, -12.1527, -1.47473, 0.724913, 0.031562
1.59575, 1.66148, -12.5915, -1.56731, 0.696862, 0.019187
1.74265, 1.87664, -13.3126, -1.77036, 0.762913, 0.012608
1.83203, 2.02815, -13.4948, -2.10641, 0.794254, -0.019561
1.79006, 1.97623, -13.0978, -2.23459, 0.797452, -0.081249
1.87917, 2.03251, -13.4763, -2.49538, 1.03215, -0.174528
1.9692, 2.08794, -13.8737, -2.8432, 1.53805, -0.097538
1.84267, 1.98162, -13.3504, -2.89316, 1.68816, -0.03535
1.78752, 1.92573, -13.3648, -2.91363, 1.72443, -0.143451
1.89082, 2.04763, -14.3646, -3.16503, 1.90089, -0.107741
1.90448, 2.06615, -14.714, -3.40464, 1.89656, -0.029165
1.85473, 1.90379, -14.3303, -3.36394, 1.74499, -0.201767
1.9727, 1.80899, -14.7271, -3.3414, 1.83903, -0.212862
2.02174, 1.65661, -14.6053, -3.20326, 1.98132, -0.201629
1.94804, 1.42291, -13.9584, -2.91115, 1.94169, -0.193636
2.07082, 1.29349, -14.5082, -2.68342, 2.11323, -0.148776
2.13694, 1.23911, -14.7612, -2.56327, 2.34706, -0.03835
2.02732, 1.19997, -14.4337, -2.43993, 2.40649, -0.017741
2.12077, 1.17495, -15.1924, -2.35355, 2.63515, 0.003747
2.08919, 1.21436, -15.4136, -2.41626, 2.71126, -0.055301
1.96117, 1.21, -15.3968, -2.42988, 2.59507, -0.130407
2.04481, 1.22267, -16.1022, -2.49455, 2.70054, -0.133238
2.00052, 1.18706, -16.3847, -2.4121, 2.70531, -0.101981
1.91603, 1.19435, -16.1865, -2.32723, 2.58102, -0.009574
1.9234, 1.23458, -16.659, -2.25415, 2.54793, -0.074828
1.90492, 1.336, -17.2146, -2.30177, 2.49984, 0.033372
1.88232, 1.43897, -17.4167, -2.40522, 2.43126, 0.032113
1.82806, 1.53736, -17.5944, -2.53029, 2.36606, 0.033469
1.82921, 1.62199, -17.9332, -2.64153, 2.3047, -0.046897
1.80581, 1.74648, -18.3194, -2.84941, 2.3136, -0.062889
1.78112, 1.81469, -18.4661, -2.95791, 2.28234, -0.023903
1.72886, 1.85807, -18.5815, -2.95607, 2.16866, -0.057303
1.72868, 1.98001, -18.9394, -3.0423, 2.08196, -0.009425
1.72865, 2.14846, -19.3944, -3.24813, 2.14461, 0.060442
1.60416, 2.19197, -18.9433, -3.42791, 2.08671, 0.080911
1.54761, 2.26, -19.272, -3.50829, 2.01677, 0.070928
1.53137, 2.45405, -20.0691, -3.86917, 2.0587, 0.087841
1.38455, 2.4685, -19.7468, -4.21162, 1.89361, -0.047717
1.25298, 2.31066, -19.3856, -4.23218, 1.62495, -0.07367
1.21631, 2.19674, -19.4673, -4.17612, 1.53097, -0.082283
1.11539, 2.06215, -19.3309, -4.02188, 1.4116, -0.088553
1.01912, 1.8632, -18.9436, -3.72896, 1.17426, -0.084476
0.980746, 1.72882, -18.9666, -3.52233, 1.00747, -0.107043
1.02154, 1.68472, -19.4518, -3.46577, 1.02315, -0.031994
1.03997, 1.55422, -19.1662, -3.23563, 1.00044, -0.021841
1.09775, 1.3891, -18.8485, -2.86799, 0.909417, -0.123813
1.31577, 1.35117, -19.0581, -2.71336, 1.15088, -0.036551
1.43995, 1.26337, -18.5584, -2.50255, 1.30078, -0.044062
1.59769, 1.21673, -18.6629, -2.29719, 1.46135, -0.046027
1.87078, 1.25397, -19.1511, -2.28071, 1.75365, -0.027927
1.88963, 1.26771, -18.7287, -2.34943, 1.84773, -0.024469
1.94741, 1.21884, -18.6696, -2.43211, 2.03836, -0.054744
2.02825, 1.13889, -18.926, -2.5242, 2.43845, -0.131411
1.88104, 0.955697, -18.2857, -2.27832, 2.44052, -0.136486
1.83757, 0.795482, -18.4183, -2.01291, 2.43714, -0.117105
1.80562, 0.641589, -18.7491, -1.79113, 2.4321, -0.12565
1.62423, 0.488202, -18.0795, -1.49765, 2.2493, -0.102113
1.53439, 0.39371, -18.3595, -1.22212, 2.17762, -0.102564
1.52636, 0.325097, -18.7535, -1.02654, 2.17335, -0.035251
1.34371, 0.30225, -18.3454, -1.00053, 1.92586, -0.023577
1.2518, 0.30742, -18.9246, -0.989098, 1.77274, -0.021039
1.11639, 0.276588, -19.1743, -1.04334, 1.52607, -0.053526
0.752558, 0.171912, -18.6545, -0.860173, 0.98691, -0.086155
0.495314, 0.010785, -18.6212, -0.523419, 0.54265, -0.099918
0.107481, -0.094688, -18.5855, -0.336165, -0.070865, -0.094332
-0.327184, -0.157508, -17.9841, -0.2149, -0.745015, -0.07862
-0.71249, -0.13187, -18.2051, -0.154953, -1.21848, -0.062183
-1.10354, 0.015595, -18.692, -0.222044, -1.60553, -0.086364
-1.41685, 0.27079, -18.7462, -0.392383, -1.81401, -0.055668
-1.73071, 0.591459, -18.7697, -0.615692, -1.88369, -0.061825
-2.03579, 0.920818, -18.7639, -0.754774, -1.81996, -0.105695
-2.29352, 1.28402, -18.8254, -0.787575, -1.57433, -0.179414
-2.61683, 1.6297, -19.1509, -0.753577, -1.33413, -0.203563
-2.86819, 2.00131, -19.6371, -0.661874, -1.08215, -0.203344
-2.90068, 2.21588, -19.2643, -0.528356, -0.676014, -0.142483
-3.03784, 2.4366, -19.1064, -0.379761, -0.584258, -0.185013
-2.993, 2.74677, -18.9678, 0.055472, -0.057765, -0.251451
-3.1061, 3.13966, -19.3343, 0.503197, 0.245642, -0.242898
-3.08968, 3.58039, -19.809, 0.73541, 0.53361, -0.158762
-3.06519, 3.97121, -20.0844, 1.12449, 0.816297, -0.187692
-2.97375, 4.26153, -19.9343, 1.69736, 1.29847, -0.216836
-2.75804, 4.28217, -18.9526, 2.23776, 1.64182, -0.280842
-2.74808, 4.49177, -18.757, 2.3729, 1.45078, -0.428962
-2.62371, 4.72462, -18.7258, 2.44135, 1.07366, -0.450464
-2.45465, 4.80541, -18.0321, 2.30764, 0.422612, -0.305159
-2.2599, 4.9998, -17.8297, 1.75203, -0.613244, -0.26706
-2.04351, 5.33596, -18.0511, 1.52043, -1.24769, -0.092716
-1.6652, 5.41922, -17.5469, 1.25872, -1.37023, -0.216588
-1.25418, 5.4616, -17.1145, 0.599894, -1.74861, -0.353871
-0.9387, 5.42204, -16.8232, -0.021778, -2.05096, -0.438571
-0.618068, 5.28626, -16.2527, -0.838093, -2.05569, -0.520457
-0.290375, 4.98089, -15.4597, -1.97633, -1.8766, -0.524675
-0.012866, 4.6099, -14.8264, -2.82831, -1.5833, -0.443565
0.248814, 4.18599, -14.1781, -3.27004, -1.34962, -0.40442
0.524805, 3.80259, -13.5809, -3.64918, -0.98822, -0.386908
0.756366, 3.50592, -13.3662, -3.89183, -0.754351, -0.391302
1.01496, 3.43532, -13.577, -3.68599, -0.67365, -0.373845
1.32609, 3.49655, -14.2755, -2.97275, -0.678569, -0.345837
1.59798, 3.5954, -14.7715, -1.97391, -0.815019, -0.321232
1.81708, 3.78335, -15.2665, -0.849968, -1.00408, -0.266151
2.0351, 4.04676, -15.6309, 0.049747, -1.1141, -0.08279
2.11199, 4.13534, -15.5215, 0.831963, -1.23449, -0.158951
2.19175, 4.24845, -15.6221, 1.59119, -1.44883, -0.089438
2.25135, 4.363, -15.5994, 1.84824, -1.60389, 0.085388
2.21125, 4.33762, -15.2983, 1.4343, -1.73344, -0.248053
2.31688, 4.42755, -15.3744, 0.417871, -1.30268, -0.352362
