Fx [N], Fy [N], Fz [N], Mx [Nm], My [Nm], Mz [Nm]
-0.072017, -0.025151, -0.961305, -0.437966, -0.449453, 0.067551
-0.069449, -0.021175, -0.973341, -0.42242, -0.450742, 0.067956
-0.065506, -0.012113, -0.951023, -0.454784, -0.44779, 0.082719
-0.070244, -0.003113, -0.971092, -0.475496, -0.444314, 0.090022
-0.09281, 0.013934, -0.975206, -0.491696, -0.482684, 0.086619
-0.105657, 0.049149, -0.959042, -0.529174, -0.488253, 0.09964
-0.090941, 0.043808, -0.936705, -0.518477, -0.47426, 0.10785
-0.071404, -0.00046, -0.892245, -0.478612, -0.468107, 0.103177
-0.069043, -0.010883, -0.845905, -0.465317, -0.471893, 0.100669
-0.081554, 0.010102, -0.886265, -0.484604, -0.483356, 0.101306
-0.098263, -0.030627, -0.986591, -0.435139, -0.502266, 0.09657
-0.105526, -0.09951, -1.22372, -0.367708, -0.44218, 0.094434
-0.055677, -0.10518, -1.68421, -0.389033, -0.31902, 0.134383
-0.017287, -0.117067, -2.66362, -0.372615, -0.123135, 0.191848
-0.009216, -0.298839, -5.24593, -0.119206, 0.215156, 0.340862
0.124672, -0.114633, -9.00212, -0.073932, 0.617675, 0.605511
0.460651, 0.792726, -12.8707, -0.747763, 1.23933, 0.922049
0.441556, 1.23223, -15.9183, -0.946303, 1.25568, 1.05169
0.308402, 1.33685, -18.0002, -0.849409, 1.02357, 1.10184
0.238732, 1.65117, -19.5222, -1.05576, 0.78185, 1.17058
0.2776, 2.06624, -20.6421, -1.38833, 0.738474, 1.19445
0.118609, 2.52913, -21.5913, -1.59651, 0.556927, 1.15681
-0.048636, 2.8099, -22.4637, -1.66765, 0.300352, 1.15605
-0.134529, 2.95468, -23.0346, -1.73344, 0.133184, 1.12359
-0.163325, 3.186, -23.4789, -1.96068, 0.132476, 1.13802
-0.256248, 3.59308, -24.1596, -2.37155, 0.037781, 1.25211
-0.251081, 4.0609, -24.8084, -2.85742, 0.02535, 1.31117
0.033333, 4.42307, -25.4544, -3.31931, 0.346772, 1.43701
-0.060178, 4.46527, -25.438, -3.25897, 0.221688, 1.42409
-0.231568, 4.06848, -24.7935, -2.71232, -0.000219, 1.40736
-0.173299, 3.77155, -24.2726, -2.43046, 0.061634, 1.46979
0.073786, 3.76519, -24.1113, -2.38004, 0.353872, 1.52172
0.120436, 3.67505, -24.0823, -2.14099, 0.465598, 1.51453
0.060085, 3.7267, -23.9065, -2.20276, 0.422053, 1.63308
0.156635, 3.84869, -23.9591, -2.50014, 0.540876, 1.71603
0.16403, 3.79011, -23.8876, -2.54236, 0.522879, 1.66848
0.074321, 3.55805, -23.9496, -2.22978, 0.394705, 1.65826
0.190021, 3.56564, -23.8128, -2.28263, 0.439304, 1.76493
0.396519, 3.54896, -23.8518, -2.30717, 0.643704, 1.85821
0.66018, 3.11287, -23.8053, -1.74319, 0.938479, 2.00633
1.08919, 2.95066, -23.8249, -1.53166, 1.43407, 2.30494
1.3708, 2.92645, -23.763, -1.52787, 1.76114, 2.42434
1.36409, 2.62961, -23.6378, -1.15057, 1.77144, 2.40638
1.40042, 2.69058, -23.7285, -1.18433, 1.82519, 2.51256
1.29469, 2.79068, -23.6622, -1.44392, 1.59863, 2.45566
1.11115, 2.83927, -23.5585, -1.58341, 1.42126, 2.32362
0.937869, 2.9234, -23.8555, -1.62892, 1.24339, 2.26909
0.95392, 3.00479, -23.9873, -1.74414, 1.21162, 2.17546
0.948126, 3.28695, -24.4373, -2.0233, 1.26012, 2.1462
0.738798, 3.47559, -24.9601, -2.18944, 0.972895, 2.10446
0.802205, 3.69088, -25.1306, -2.40894, 0.968458, 2.13106
0.76363, 3.7634, -24.9619, -2.56251, 0.895261, 2.05574
0.641882, 3.82795, -25.1967, -2.63982, 0.770479, 2.0011
0.771129, 3.95751, -25.34, -2.74262, 0.794794, 2.0458
0.689403, 4.12257, -25.1748, -2.97836, 0.673579, 1.92881
0.557848, 4.09188, -24.9527, -2.96977, 0.586055, 1.8414
0.794346, 4.12136, -25.055, -2.98463, 0.805322, 1.99692
1.03266, 4.39608, -25.1345, -3.35324, 1.04472, 2.02482
0.717615, 4.26691, -24.9082, -3.24373, 0.714082, 1.87084
0.551025, 4.01543, -24.6874, -2.91429, 0.516122, 1.87879
0.915135, 4.16583, -24.7613, -3.06544, 0.952956, 1.94831
1.09809, 4.32008, -24.8054, -3.28837, 1.26729, 1.97829
0.888317, 4.29118, -24.4939, -3.22773, 1.10483, 1.9891
0.910275, 4.22878, -24.1671, -3.21675, 1.10179, 2.00628
1.06382, 4.13738, -23.9369, -3.16054, 1.2608, 1.955
0.945685, 3.99169, -23.5516, -2.91661, 1.18631, 1.90029
0.763282, 3.8187, -23.2062, -2.59896, 0.984522, 1.82668
0.985407, 3.88395, -23.315, -2.67861, 1.29375, 1.81249
1.1156, 3.98705, -23.4761, -2.86287, 1.47134, 1.80362
0.804499, 3.92911, -23.2074, -2.84726, 1.09424, 1.76648
0.7972, 4.11611, -23.2363, -3.08209, 1.09476, 1.80545
1.00575, 4.19884, -23.3542, -3.20556, 1.32188, 1.83675
1.10603, 4.23072, -23.3683, -3.27847, 1.4479, 1.87475
0.90964, 4.23588, -23.2426, -3.29394, 1.24245, 1.8767
0.922101, 4.20317, -23.0446, -3.33964, 1.16634, 1.90508
1.02353, 4.11219, -23.0755, -3.24059, 1.22863, 1.94101
0.84354, 3.98679, -23.1922, -3.00404, 0.994759, 1.93209
0.841961, 3.97818, -23.3654, -2.97641, 0.918119, 2.0004
0.864251, 4.23423, -23.6976, -3.3836, 0.853173, 2.02549
0.765328, 4.28512, -23.8934, -3.44996, 0.672816, 2.00099
0.743872, 4.29966, -24.0815, -3.33259, 0.618152, 2.0262
0.849678, 4.29939, -24.1303, -3.27249, 0.686042, 2.01399
0.916296, 4.47284, -24.3703, -3.46649, 0.829328, 1.99276
0.780368, 4.48817, -24.4717, -3.39268, 0.680248, 1.92613
0.689591, 4.43073, -24.2591, -3.36186, 0.576671, 1.85683
0.840099, 4.53263, -24.507, -3.4627, 0.814951, 1.9163
0.799577, 4.53795, -24.8404, -3.36087, 0.727379, 1.92663
0.729963, 4.6025, -25.0333, -3.31628, 0.632376, 1.8476
0.560621, 4.54695, -25.1074, -3.13116, 0.397374, 1.78634
0.412753, 4.39349, -25.1486, -2.8039, 0.129826, 1.71118
0.345208, 4.57163, -25.2204, -2.90589, 0.029426, 1.68988
0.164116, 4.63055, -25.2809, -2.8255, -0.280003, 1.64288
0.095116, 4.6484, -25.1786, -2.72951, -0.436455, 1.68122
0.013632, 4.66224, -25.0957, -2.79772, -0.574674, 1.68617
-0.022045, 4.66679, -25.1134, -2.74847, -0.612858, 1.6898
-0.074795, 4.6416, -24.958, -2.56832, -0.673557, 1.66362
-0.16934, 4.72707, -24.8245, -2.57617, -0.735884, 1.60451
-0.090256, 4.78424, -24.5017, -2.70416, -0.571355, 1.60392
-0.098604, 4.70852, -24.2271, -2.64591, -0.568261, 1.61057
-0.1096, 4.87776, -24.3158, -2.85944, -0.537288, 1.67469
-0.016796, 4.9923, -23.9699, -3.12971, -0.325989, 1.66121
0.085188, 5.14351, -23.9803, -3.37411, -0.093984, 1.65869
0.215969, 5.26742, -24.2575, -3.48658, 0.098038, 1.75578
0.191116, 5.31153, -24.5667, -3.51087, 0.00557, 1.79488
0.02441, 5.44505, -24.6125, -3.71787, -0.177451, 1.75734
0.088594, 5.43313, -24.7601, -3.73293, -0.065897, 1.83122
0.295377, 5.37676, -24.9519, -3.63262, 0.141975, 1.90508
0.232843, 5.41771, -24.987, -3.68865, 0.063045, 1.87205
0.085283, 5.45708, -24.9816, -3.69647, -0.048998, 1.82862
0.191686, 5.37681, -25.0944, -3.53524, 0.057213, 1.89198
0.357774, 5.41591, -25.2052, -3.55685, 0.207305, 1.92891
