Fx [N], Fy [N], Fz [N], Mx [Nm], My [Nm], Mz [Nm]
0.546625, 0.331958, -2.93506, 0.115973, 0.110986, -0.123306
0.584312, 0.337222, -3.41746, 0.148301, 0.11994, -0.088783
0.634295, 0.333445, -3.99018, 0.166521, 0.155563, -0.039033
0.699257, 0.339103, -4.64601, 0.151899, 0.186928, -0.004815
0.76103, 0.344355, -5.19366, 0.109879, 0.203247, 0.009764
0.81916, 0.342738, -5.61469, 0.074108, 0.244294, 0.014046
0.877391, 0.329395, -5.91747, 0.009931, 0.25057, -0.00428
0.914924, 0.297394, -6.1155, -0.071344, 0.340391, -0.017476
0.988234, 0.251303, -6.06222, -0.102832, 0.555064, -0.042883
0.964396, 0.181005, -6.0157, -0.05102, 0.569734, -0.057129
0.963412, 0.122455, -6.08088, 0.042042, 0.610641, -0.112183
0.980331, 0.064586, -6.4516, 0.216746, 0.718841, -0.153002
1.00215, 0.054344, -7.01755, 0.37917, 0.467845, -0.119707
1.00593, 0.011714, -7.73477, 0.678131, 0.65162, -0.012674
1.09103, 0.036228, -8.3537, 0.717955, 0.8146, 0.056142
1.10395, 0.079016, -8.60943, 0.657522, 0.865564, 0.077015
1.11565, 0.092746, -8.67208, 0.624728, 0.932396, 0.080407
1.14967, 0.098175, -8.90246, 0.653214, 1.02809, 0.051426
1.18067, 0.106508, -9.37117, 0.689524, 1.08078, -0.014554
1.20695, 0.128437, -9.94042, 0.702636, 1.0848, 0.012135
1.21755, 0.168199, -10.4838, 0.658598, 1.13382, 0.041842
1.27502, 0.239818, -11.0764, 0.570922, 1.27419, 0.053371
1.33743, 0.302534, -11.363, 0.422153, 1.4511, 0.079268
1.28605, 0.355308, -11.2005, 0.31921, 1.42954, 0.073362
1.26915, 0.387582, -11.3399, 0.238915, 1.43772, 0.070827
1.24433, 0.405883, -11.4591, 0.156774, 1.43684, 0.063369
1.22786, 0.417673, -11.521, 0.073519, 1.41721, 0.01573
1.19309, 0.413171, -11.7456, -0.063266, 1.22646, -0.031282
1.19265, 0.402828, -11.9851, -0.123874, 1.07346, -0.029532
1.22946, 0.386986, -12.1334, -0.04392, 1.05063, -0.098161
1.2578, 0.37767, -12.3347, 0.021165, 1.05583, -0.105899
1.32008, 0.381425, -12.857, 0.056603, 1.164, 0.036091
1.38456, 0.377339, -13.1302, 0.003926, 1.38143, 0.092507
1.42206, 0.362328, -13.3227, -0.069159, 1.47065, 0.061104
1.43541, 0.324183, -13.5913, -0.143623, 1.53849, -0.050982
1.4282, 0.248351, -13.3646, -0.0466, 1.61898, -0.109569
1.38141, 0.187398, -13.0743, 0.116378, 1.59773, -0.137654
1.38864, 0.148038, -13.4502, 0.217818, 1.60743, -0.13442
1.35581, 0.135449, -13.7496, 0.271833, 1.44418, -0.051298
1.33382, 0.127906, -13.7499, 0.488727, 1.23892, -0.03105
1.38283, 0.147179, -14.0223, 0.520896, 1.34168, -0.130744
1.426, 0.178958, -14.1223, 0.463636, 1.54315, -0.151737
1.43727, 0.190075, -13.6893, 0.469745, 1.7028, -0.047151
1.4404, 0.208332, -13.9105, 0.494115, 1.67476, 0.044812
1.45045, 0.236885, -14.0124, 0.454634, 1.63427, 0.08929
1.39603, 0.270384, -13.8738, 0.42016, 1.46481, 0.068539
1.39117, 0.290556, -14.1214, 0.413374, 1.39583, -0.014188
1.42366, 0.322392, -14.3071, 0.347075, 1.46617, -0.011226
1.46286, 0.343599, -14.2248, 0.317245, 1.51591, 0.080835
1.48831, 0.36459, -14.4353, 0.305355, 1.51109, 0.042543
1.48012, 0.4003, -14.5882, 0.25847, 1.52032, 0.060105
1.4909, 0.420389, -14.6448, 0.171535, 1.59135, 0.077126
1.52332, 0.41964, -14.7161, 0.119408, 1.6684, -0.027032
1.50828, 0.424398, -14.8885, 0.08962, 1.61345, -0.166187
1.52377, 0.424643, -15.0423, 0.022435, 1.64007, -0.184032
1.56042, 0.416787, -15.0806, 0.029024, 1.84294, -0.08583
1.56733, 0.424663, -15.3, 0.213264, 1.89487, -0.024012
1.5567, 0.471743, -15.7333, 0.191894, 1.82134, -0.035431
1.56737, 0.496722, -15.9624, 0.122966, 1.82902, -0.001486
1.57662, 0.503958, -16.0185, 0.050268, 1.7734, -0.062472
1.58774, 0.50776, -16.2194, -0.196357, 1.70102, -0.181034
1.60417, 0.478275, -16.0725, -0.316282, 1.69574, -0.167887
1.60672, 0.395322, -15.8489, -0.264426, 1.63229, -0.190266
1.66542, 0.287971, -15.8059, -0.160244, 1.61897, -0.192292
1.68595, 0.177239, -15.3748, -0.005157, 1.52648, -0.144417
1.74994, 0.038881, -15.1242, 0.164375, 1.44551, -0.15307
1.87292, -0.067004, -15.0536, 0.324245, 1.46546, -0.17609
1.9922, -0.173069, -14.7929, 0.466328, 1.54379, -0.155484
2.15442, -0.268275, -14.6197, 0.588955, 1.62279, -0.164757
2.28138, -0.354749, -14.1946, 0.692314, 1.63107, -0.166445
2.39033, -0.405117, -13.6599, 0.703879, 1.48815, -0.124639
2.44331, -0.430061, -12.9957, 0.629018, 1.14402, -0.056276
2.48859, -0.446069, -12.5711, 0.594896, 0.776052, 6.7e-05
