Fx [N], Fy [N], Fz [N], Mx [Nm], My [Nm], Mz [Nm]
0.916029, 0.499862, -7.26405, -0.594576, 0.223748, 0.05306
0.91925, 0.466305, -7.26095, -0.42492, 0.52204, 0.087115
0.895728, 0.453847, -7.30502, -0.246767, 0.626093, 0.069956
0.846469, 0.436589, -7.44445, -0.127512, 0.702593, 0.025252
0.785485, 0.427842, -7.56337, -0.051866, 0.696144, -0.002449
0.726356, 0.422344, -7.75095, -0.002406, 0.647085, -0.036746
0.663802, 0.445019, -7.99106, -0.026392, 0.586049, -0.062972
0.592973, 0.446544, -8.13554, -0.037314, 0.465713, -0.143375
0.535823, 0.454381, -8.1402, -0.040798, 0.337592, -0.183969
0.491229, 0.478399, -8.23756, -0.101228, 0.232611, -0.213519
0.458736, 0.495185, -8.46229, -0.096982, 0.183548, -0.186439
0.439449, 0.490154, -8.70634, 0.001609, 0.126287, -0.143059
0.422856, 0.495659, -8.90273, 0.022802, 0.082887, -0.112057
0.406115, 0.52262, -9.05046, -0.032544, 0.062297, -0.049078
0.386441, 0.517048, -9.17061, -0.039297, 0.064961, -0.024283
0.360577, 0.534623, -9.3662, -0.13106, 0.05992, -0.022857
0.308146, 0.568109, -9.56501, -0.308181, 0.02902, -0.061172
0.2636, 0.583481, -9.72359, -0.35003, -0.067406, -0.129369
0.206506, 0.583199, -9.75455, -0.410147, -0.17003, -0.166539
0.138523, 0.563417, -9.83349, -0.34193, -0.282344, -0.215085
0.068536, 0.531226, -9.89462, -0.238262, -0.380221, -0.198776
-0.011085, 0.496717, -10.1405, -0.144884, -0.493067, -0.165462
-0.088784, 0.480671, -10.4394, -0.12529, -0.628064, -0.14476
-0.197659, 0.483578, -10.7207, -0.152696, -0.792233, -0.140805
-0.30379, 0.467357, -10.9135, -0.19606, -0.893223, -0.136218
-0.406933, 0.460864, -11.0098, -0.246105, -0.992724, -0.134072
-0.516619, 0.447433, -11.0779, -0.283194, -1.11146, -0.138406
-0.652991, 0.409749, -11.1315, -0.255362, -1.21805, -0.145133
-0.815133, 0.376464, -11.4288, -0.202078, -1.36064, -0.16016
-0.954231, 0.32028, -11.5791, -0.087105, -1.50419, -0.18659
-1.09216, 0.256813, -11.5751, 0.081996, -1.60312, -0.166842
-1.22944, 0.233846, -11.8011, 0.137214, -1.76508, -0.144153
-1.35041, 0.274351, -11.7345, -0.019763, -1.87838, -0.127513
-1.45244, 0.29717, -11.5627, -0.110045, -1.90755, -0.096171
-1.59269, 0.279569, -11.6189, -0.097514, -1.94049, -0.116762
-1.68827, 0.249335, -11.5303, 0.001579, -1.8969, -0.142392
-1.77248, 0.239207, -11.4241, 0.004636, -1.82, -0.172429
-1.87665, 0.225503, -11.4467, 0.05912, -1.75485, -0.210732
-1.92722, 0.210768, -11.3184, 0.088702, -1.62431, -0.156916
-1.98691, 0.183446, -11.2433, 0.183378, -1.52159, -0.149146
-2.03212, 0.146236, -11.178, 0.268036, -1.5176, -0.138081
-2.07632, 0.169175, -11.2044, 0.225586, -1.60219, -0.147184
-2.17301, 0.156517, -11.1704, 0.12871, -2.03859, -0.102953
-2.09277, 0.223436, -11.1542, -0.149125, -2.27144, -0.047708
-2.13124, 0.266018, -11.1513, -0.285608, -2.62679, -0.009331
-2.11066, 0.319342, -11.0514, -0.416289, -2.75485, 0.066037
-2.08329, 0.264385, -11.0155, -0.276253, -2.67301, 0.199604
-1.99174, 0.184465, -10.7476, -0.090526, -2.46767, 0.272257
-1.9692, 0.169821, -10.6841, -0.16702, -2.43371, 0.246185
-1.99603, 0.198263, -10.7474, -0.358802, -2.49229, 0.152219
-2.01558, 0.158461, -10.7865, -0.249357, -2.6658, 0.0776
-2.0369, 0.079258, -10.8849, -0.012391, -2.96578, 0.096195
