Fx [N], Fy [N], Fz [N], Mx [Nm], My [Nm], Mz [Nm]
2.14188, 3.90745, -9.97617, -2.87677, 1.63538, 0.78833
2.29558, 4.20438, -10.2242, -3.15416, 1.73424, 0.811188
2.36649, 4.46981, -10.4124, -3.42081, 1.75497, 0.789774
2.39584, 4.6765, -10.5725, -3.62499, 1.71963, 0.73177
2.42607, 4.76371, -10.7027, -3.73778, 1.7283, 0.71219
2.44664, 4.66615, -10.6123, -3.6708, 1.74987, 0.767571
2.48624, 4.56546, -10.5585, -3.59003, 1.82187, 0.806483
2.51694, 4.46418, -10.4733, -3.48404, 1.85707, 0.802633
2.52117, 4.39205, -10.493, -3.37242, 1.87058, 0.789606
2.56427, 4.35682, -10.6474, -3.2996, 1.91001, 0.807538
2.57127, 4.30943, -10.6791, -3.22887, 1.89387, 0.807286
2.49836, 4.20981, -10.5699, -3.11381, 1.80486, 0.778862
2.43431, 4.10758, -10.4722, -3.01409, 1.71179, 0.770417
2.43561, 4.09267, -10.5689, -2.95287, 1.657, 0.75493
2.46079, 4.0583, -10.7188, -2.89737, 1.62339, 0.785998
2.445, 4.00216, -10.7861, -2.81412, 1.54372, 0.804017
2.42293, 3.96207, -10.9486, -2.76893, 1.4541, 0.804806
2.42812, 4.03063, -11.0857, -2.81427, 1.38987, 0.811097
2.45605, 4.09599, -11.225, -2.89399, 1.38331, 0.825068
2.43913, 4.10786, -11.318, -2.90857, 1.29036, 0.801841
2.4397, 4.03948, -11.349, -2.83855, 1.27802, 0.827802
2.49422, 3.96514, -11.5158, -2.78955, 1.31867, 0.913057
2.56074, 4.01669, -11.6001, -2.83819, 1.37653, 0.956014
2.59031, 4.04626, -11.7956, -2.82997, 1.38385, 0.956387
2.59574, 4.05921, -12.029, -2.80837, 1.3575, 0.957047
2.65401, 4.11976, -12.0295, -2.91636, 1.42636, 0.97945
2.69927, 4.18172, -12.2165, -2.98004, 1.46723, 1.01887
2.72282, 4.24118, -12.4804, -3.01002, 1.44673, 1.02768
2.7612, 4.3309, -12.7953, -3.07875, 1.42773, 1.02289
2.77292, 4.41273, -13.1347, -3.1367, 1.35085, 0.995686
2.75147, 4.499, -13.47, -3.17984, 1.26737, 0.966054
2.69051, 4.62354, -13.7431, -3.31305, 1.14325, 0.851504
2.65232, 4.63317, -13.8229, -3.36913, 1.09475, 0.800937
2.64328, 4.61252, -14.0515, -3.36088, 1.06988, 0.83024
2.65653, 4.70896, -14.1921, -3.48239, 1.06543, 0.797906
2.70342, 4.7428, -14.318, -3.5252, 1.10204, 0.859439
2.69166, 4.61538, -14.2188, -3.4668, 1.13483, 0.934539
2.69848, 4.54635, -14.0357, -3.47232, 1.22731, 1.00932
2.72825, 4.47529, -14.1471, -3.45502, 1.28338, 1.14242
2.65478, 4.45363, -13.9579, -3.5426, 1.2694, 1.13945
2.55498, 4.28819, -13.7729, -3.44427, 1.2608, 1.15843
2.4934, 4.05853, -13.5276, -3.29562, 1.30394, 1.24104
2.49073, 3.99798, -13.5298, -3.29248, 1.3968, 1.31344
2.33838, 4, -13.3579, -3.33609, 1.35552, 1.24617
2.12196, 4.0121, -13.2557, -3.38652, 1.23987, 1.11764
2.07784, 4.01506, -13.2898, -3.4271, 1.20468, 1.11856
2.01087, 4.23049, -13.1231, -3.70308, 1.20379, 1.00896
1.92451, 4.44606, -12.9433, -3.97374, 1.18311, 0.849838
1.84984, 4.53264, -13.0427, -4.1152, 1.07874, 0.7582
1.90099, 4.6932, -13.1538, -4.28728, 1.09724, 0.719146
1.95498, 4.79652, -13.2149, -4.39292, 1.15931, 0.738803
1.97587, 4.8627, -13.3156, -4.43294, 1.17029, 0.761378
1.98836, 4.99777, -13.3376, -4.58367, 1.15752, 0.730024
2.01157, 5.06644, -13.2242, -4.68406, 1.16705, 0.706711
2.01109, 5.14019, -13.3026, -4.73564, 1.15763, 0.733606
1.97666, 5.14245, -13.4013, -4.74048, 1.05766, 0.719764
1.988, 5.14039, -13.3482, -4.74171, 1.08878, 0.754868
2.02433, 5.06987, -13.4511, -4.63059, 1.09537, 0.80603
2.10456, 5.05027, -13.3635, -4.58309, 1.19369, 0.853486
2.19498, 5.04841, -13.2079, -4.57305, 1.33609, 0.898066
2.28738, 4.97919, -13.4374, -4.45425, 1.40885, 1.05286
2.31902, 5.05739, -13.5094, -4.47515, 1.40608, 1.00831
2.28912, 5.02388, -13.3409, -4.4212, 1.41232, 0.965675
2.32964, 4.9076, -13.1755, -4.29731, 1.49409, 1.03513
2.31583, 4.85148, -13.1148, -4.25051, 1.45467, 1.02349
2.25375, 4.79397, -13.1326, -4.16846, 1.3798, 1.00001
2.21931, 4.81652, -12.9612, -4.16066, 1.36006, 0.923693
2.20496, 4.739, -12.8813, -4.10573, 1.33729, 0.957424
2.17292, 4.66894, -12.7695, -4.02819, 1.30934, 0.969007
2.0789, 4.66148, -12.6684, -3.99401, 1.19201, 0.876072
2.04981, 4.64278, -12.5546, -3.95827, 1.18595, 0.825106
2.09904, 4.56082, -12.4037, -3.90297, 1.25599, 0.889496
2.08574, 4.5936, -12.3157, -3.94148, 1.25806, 0.878415
2.08046, 4.67394, -12.2691, -4.01012, 1.28531, 0.831094
2.10914, 4.67371, -12.2189, -4.01802, 1.31724, 0.832025
2.11863, 4.67026, -12.3534, -4.01111, 1.32695, 0.848326
2.13476, 4.66814, -12.4257, -3.99681, 1.33164, 0.857639
2.15928, 4.67414, -12.514, -4.01557, 1.35061, 0.875912
2.22083, 4.71574, -12.4336, -4.05932, 1.44419, 0.900614
2.26135, 4.71906, -12.4509, -4.06378, 1.44846, 0.94111
2.20907, 4.82447, -12.5379, -4.14649, 1.38788, 0.862425
2.199, 4.89965, -12.3933, -4.20353, 1.41947, 0.784658
2.24859, 4.85924, -12.124, -4.18296, 1.55027, 0.769576
2.36468, 4.67567, -11.8452, -4.00229, 1.75236, 0.862148
2.50926, 4.47041, -11.5524, -3.83066, 2.00859, 1.03999
2.52245, 4.29742, -11.4864, -3.64627, 2.06919, 1.13359
2.45824, 4.19388, -11.3186, -3.53779, 2.05208, 1.11787
2.31397, 4.13649, -11.0388, -3.52322, 1.96844, 0.99252
2.21052, 4.09199, -10.8896, -3.48802, 1.88553, 0.968993
2.118, 4.1052, -10.8122, -3.51265, 1.77497, 0.908579
2.06138, 4.08882, -10.8557, -3.52322, 1.68986, 0.928815
2.04703, 4.05524, -10.8848, -3.48169, 1.64672, 0.959748
2.02273, 4.01488, -10.8179, -3.46583, 1.59997, 0.961469
1.98813, 3.96693, -10.8034, -3.40524, 1.56534, 0.951846
1.967, 3.95723, -10.7253, -3.3816, 1.512, 0.922782
1.95887, 3.93848, -10.7255, -3.33085, 1.47696, 0.900365
1.9056, 3.92615, -10.7622, -3.30525, 1.41236, 0.860865
1.86668, 3.96095, -10.7573, -3.33753, 1.3588, 0.816419
1.87719, 3.99447, -10.7979, -3.37684, 1.33192, 0.814876
1.85148, 4.06476, -10.8397, -3.42006, 1.28174, 0.76365
1.84406, 4.07368, -10.9125, -3.40197, 1.23022, 0.744442
1.84516, 4.07206, -11.0733, -3.36877, 1.19799, 0.750051
1.83508, 4.12731, -11.089, -3.40144, 1.159, 0.690297
1.83386, 4.10322, -11.173, -3.36741, 1.11358, 0.700785
1.84075, 4.14473, -11.3793, -3.36644, 1.0788, 0.670153
1.87898, 4.16866, -11.4898, -3.37256, 1.06178, 0.686569
1.93342, 4.14018, -11.5107, -3.35388, 1.09068, 0.741535
1.95487, 4.15912, -11.4085, -3.37968, 1.11455, 0.732521
1.92264, 4.18912, -11.3532, -3.40752, 1.07995, 0.692546
1.92947, 4.30692, -11.4314, -3.50925, 1.04055, 0.655593
1.97432, 4.37351, -11.5225, -3.56828, 1.04518, 0.661891
1.94696, 4.4236, -11.457, -3.64155, 1.01283, 0.639771
1.89633, 4.42002, -11.3784, -3.65733, 0.985386, 0.636229
1.8369, 4.37601, -11.1934, -3.63943, 0.956074, 0.606123
1.73945, 4.26382, -10.9652, -3.57049, 0.899518, 0.585011
1.60357, 4.09233, -10.6718, -3.4095, 0.836497, 0.56961
1.54562, 3.94211, -10.3841, -3.33034, 0.842086, 0.596822
1.57468, 3.91283, -10.3401, -3.29948, 0.899873, 0.668888
1.61552, 3.95696, -10.4343, -3.35076, 0.973048, 0.712788
1.67545, 3.99592, -10.4375, -3.39355, 1.0721, 0.775752
1.73287, 3.99723, -10.4168, -3.43606, 1.17338, 0.819992
1.76652, 4.00147, -10.2958, -3.47838, 1.28657, 0.851234
1.75992, 4.0743, -10.1879, -3.57334, 1.31431, 0.845313
1.73844, 4.13769, -10.1206, -3.62432, 1.32474, 0.816453
1.71834, 4.18424, -10.1296, -3.67223, 1.2948, 0.788187
1.67956, 4.17029, -10.1399, -3.65016, 1.23758, 0.760921
1.63675, 4.16993, -10.07, -3.65101, 1.18786, 0.727251
1.58457, 4.15155, -10.0401, -3.62593, 1.1185, 0.698544
1.51919, 4.10018, -10.1291, -3.53418, 0.973087, 0.63784
1.46114, 4.05171, -10.2537, -3.42758, 0.840124, 0.604703
1.38077, 3.99471, -10.3267, -3.29447, 0.679555, 0.527918
1.32516, 3.88802, -10.2316, -3.14915, 0.568043, 0.493424
1.28118, 3.85181, -10.2037, -3.09868, 0.465013, 0.452502
1.30766, 3.93826, -10.3242, -3.16366, 0.421394, 0.40755
1.34627, 4.02831, -10.4843, -3.19527, 0.422148, 0.39048
1.43497, 4.02997, -10.5641, -3.19322, 0.456406, 0.435412
1.50641, 4.02256, -10.6614, -3.17198, 0.515197, 0.498442
1.60961, 4.05294, -10.8384, -3.17054, 0.565946, 0.526871
1.71195, 4.08923, -11.0108, -3.17073, 0.630076, 0.584341
1.75837, 4.14401, -11.1727, -3.2013, 0.649301, 0.57037
1.82722, 4.10708, -11.2697, -3.14154, 0.690512, 0.633369
1.88603, 4.05195, -11.1818, -3.11272, 0.756865, 0.689881
1.89126, 4.03876, -11.2105, -3.1101, 0.755044, 0.750523
1.85913, 4.03761, -11.2441, -3.11875, 0.694451, 0.768448
1.8145, 4.05134, -11.2741, -3.13123, 0.640668, 0.772025
1.74127, 4.11135, -11.3662, -3.15494, 0.532392, 0.70682
1.71214, 4.14692, -11.3793, -3.20785, 0.478216, 0.672812
1.74703, 4.17773, -11.3654, -3.25148, 0.498553, 0.68311
1.78394, 4.19238, -11.2791, -3.29134, 0.56135, 0.688879
1.75978, 4.15804, -11.2731, -3.26122, 0.550304, 0.67003
1.68318, 4.1515, -11.1898, -3.26156, 0.4761, 0.603069
1.64342, 4.15279, -11.1105, -3.25939, 0.473483, 0.545695
1.712, 4.13311, -11.25, -3.21656, 0.534336, 0.608395
1.76798, 4.15587, -11.3019, -3.22596, 0.588718, 0.643336
1.79042, 4.14049, -11.2614, -3.2157, 0.654489, 0.656931
1.85401, 4.14375, -11.2923, -3.1912, 0.704369, 0.720771
1.9188, 4.17291, -11.3544, -3.20705, 0.741213, 0.753409
1.89305, 4.23957, -11.3856, -3.2634, 0.716145, 0.726932
1.84856, 4.3175, -11.3292, -3.33412, 0.684566, 0.660096
1.90197, 4.37743, -11.3162, -3.3827, 0.742431, 0.643186
1.98025, 4.36084, -11.3315, -3.39117, 0.830551, 0.691775
2.03345, 4.41974, -11.4342, -3.43127, 0.871001, 0.718145
2.05164, 4.50476, -11.5124, -3.51711, 0.874581, 0.680231
2.02951, 4.55742, -11.403, -3.59152, 0.869574, 0.640485
2.02527, 4.58005, -11.3914, -3.63083, 0.870813, 0.630267
2.05262, 4.65347, -11.3798, -3.72235, 0.890824, 0.644477
2.09506, 4.76751, -11.4374, -3.83852, 0.904083, 0.638618
2.24785, 4.7625, -11.4818, -3.8303, 1.05893, 0.74715
2.46896, 4.65047, -11.5622, -3.72493, 1.30049, 0.928359
2.65861, 4.55829, -11.7089, -3.58611, 1.47801, 1.10618
2.77858, 4.48428, -11.7062, -3.4839, 1.62018, 1.21688
2.79476, 4.39792, -11.6495, -3.37482, 1.66471, 1.19948
2.71234, 4.34307, -11.4295, -3.35674, 1.62279, 1.11223
2.64755, 4.3847, -11.3951, -3.38016, 1.57331, 1.03574
2.60449, 4.43318, -11.3206, -3.42621, 1.52209, 0.955994
2.52349, 4.39126, -11.2023, -3.43419, 1.44829, 0.917183
2.42875, 4.35959, -11.1484, -3.40713, 1.33249, 0.865753
2.38007, 4.39143, -11.1036, -3.47249, 1.27292, 0.81021
2.30899, 4.43855, -11.2681, -3.50723, 1.16457, 0.744167
2.23657, 4.46281, -11.3154, -3.55268, 1.06731, 0.701442
2.19296, 4.47221, -11.4451, -3.5538, 1.00333, 0.656248
2.18104, 4.53723, -11.651, -3.61869, 0.937412, 0.648533
2.14142, 4.63213, -11.8802, -3.71642, 0.819502, 0.598818
2.11347, 4.69935, -11.9777, -3.78405, 0.752527, 0.576705
2.09253, 4.72829, -12.0973, -3.83148, 0.713841, 0.551295
2.11449, 4.75846, -12.1958, -3.87289, 0.708345, 0.572452
2.14171, 4.80408, -12.2183, -3.90918, 0.724242, 0.573751
2.16087, 4.85055, -12.2266, -3.96073, 0.766295, 0.58419
2.18805, 4.83139, -12.0735, -3.98206, 0.80672, 0.596296
2.20404, 4.86289, -12.0436, -4.01545, 0.849162, 0.598741
2.24415, 4.91467, -11.9798, -4.06505, 0.912022, 0.600979
2.27499, 4.93131, -11.9821, -4.08333, 0.93749, 0.601912
2.28777, 4.9299, -12.012, -4.0639, 0.951347, 0.611439
2.34669, 4.93781, -11.9573, -4.07807, 1.01323, 0.640924
2.36299, 4.99942, -11.9222, -4.14052, 1.02685, 0.616743
2.38355, 5.03144, -11.9763, -4.13275, 1.05188, 0.639597
2.39919, 5.04616, -12.0205, -4.14004, 1.05738, 0.646738
2.42155, 5.05067, -12.0406, -4.14328, 1.0677, 0.656236
2.41427, 5.09431, -12.1197, -4.17715, 1.03879, 0.639909
2.40784, 5.10822, -12.2228, -4.16587, 1.01056, 0.618761
2.40894, 5.03435, -12.2937, -4.08256, 0.981321, 0.659664
2.3912, 5.04641, -12.2057, -4.11487, 0.990143, 0.641545
2.43351, 5.0295, -12.2714, -4.08118, 0.974763, 0.665334
2.40762, 5.02819, -12.2419, -4.07398, 0.959358, 0.633256
2.40475, 5.00563, -12.1979, -4.02971, 0.963719, 0.6085
2.45052, 4.9448, -12.1587, -3.97355, 1.00129, 0.633963
2.48343, 4.9108, -12.2243, -3.90419, 1.01861, 0.657592
2.46562, 4.88602, -12.1663, -3.88103, 1.02883, 0.632025
