Fx [N], Fy [N], Fz [N], Mx [Nm], My [Nm], Mz [Nm]
-1.75741, -0.121787, -11.5584, -0.109973, -0.950858, -0.306095
-1.78088, -0.089696, -11.4145, -0.246652, -0.861169, -0.234192
-1.75076, -0.085733, -11.023, -0.240767, -1.03673, -0.292398
-1.85776, -0.105417, -11.4976, -0.069582, -1.99499, -0.207795
-1.86811, -0.068536, -11.796, -0.180739, -2.51808, -0.0679
-1.75445, -0.021945, -11.6668, -0.389278, -2.80543, -0.020168
-1.57987, -0.053593, -11.4262, -0.412749, -2.90715, 0.121451
-1.35497, -0.087201, -11.2185, -0.470925, -2.80629, 0.260039
-1.07538, -0.156737, -10.6023, -0.407768, -2.50073, 0.298355
-0.863735, -0.264004, -10.2615, -0.200736, -2.29639, 0.22392
-0.676758, -0.371891, -10.43, -0.000967, -2.09088, 0.152308
-0.478604, -0.429434, -10.0833, 0.136763, -1.79867, 0.098166
-0.294028, -0.474765, -9.64229, 0.281018, -1.53528, 0.027251
-0.137602, -0.523366, -10.3047, 0.482168, -1.29749, 0.019043
-0.040048, -0.520326, -11.0012, 0.506664, -0.98907, 0.139057
0.010854, -0.496249, -10.6568, 0.400598, -0.736299, 0.190076
-0.017416, -0.500281, -10.6834, 0.385955, -0.588152, 0.092918
-0.098095, -0.493012, -10.5887, 0.291632, -0.587206, -0.064794
-0.233356, -0.497267, -9.94113, 0.18339, -0.701813, -0.103871
-0.371907, -0.57019, -9.72951, 0.302131, -0.909831, -0.328718
-0.484621, -0.599028, -10.0604, 0.344152, -1.05903, -0.397064
-0.562958, -0.569167, -9.88131, 0.357223, -1.12363, -0.324858
-0.630477, -0.576109, -10.0957, 0.525309, -1.34219, -0.246241
-0.714347, -0.577845, -10.9996, 0.596372, -1.82304, -0.129822
-0.711608, -0.514309, -11.2325, 0.376623, -1.99168, -0.06872
-0.601299, -0.517388, -10.8619, 0.284878, -1.91825, -0.029421
-0.474569, -0.582918, -10.9275, 0.358522, -1.7924, -0.079352
-0.284511, -0.599237, -10.8085, 0.399234, -1.52344, -0.0377
-0.09952, -0.613422, -10.1902, 0.462775, -1.24658, 0.004744
0.115377, -0.656152, -10.2751, 0.642935, -0.925488, -8.3e-05
0.38386, -0.638902, -10.9605, 0.633675, -0.511648, 0.030118
0.574675, -0.576812, -10.6493, 0.45391, -0.150616, 0.170735
0.710863, -0.571539, -10.6363, 0.492925, 0.054761, 0.150994
0.941858, -0.564459, -11.1126, 0.478078, 0.344523, 0.150892
1.02556, -0.459147, -10.8816, 0.256168, 0.491594, 0.206804
1.01702, -0.441775, -10.2552, 0.268282, 0.470693, 0.133272
1.1371, -0.442309, -10.9012, 0.271476, 0.58871, -0.006087
1.1505, -0.377457, -11.0103, -0.062153, 0.66679, -0.033851
1.07698, -0.366721, -10.3086, -0.194852, 0.754674, -0.054278
1.13287, -0.438957, -10.5178, -0.014428, 0.864476, -0.075947
1.16345, -0.389067, -10.9348, -0.164058, 0.894812, -0.047762
1.10664, -0.390658, -10.5681, -0.182521, 0.976148, -0.032434
1.09527, -0.466865, -10.4647, 0.065493, 1.06211, -0.051579
1.13098, -0.469516, -11.1259, 0.011249, 1.12627, -0.069459
1.08835, -0.479829, -10.8983, -0.101745, 1.06391, -0.060171
0.931285, -0.528235, -10.1889, -0.01731, 0.925086, -0.081749
0.909111, -0.635559, -10.6397, 0.26298, 0.940957, -0.139598
0.894479, -0.644424, -10.909, 0.32733, 0.923807, -0.219059
0.768212, -0.651832, -10.4959, 0.425355, 0.792147, -0.15842
0.800338, -0.77014, -11.109, 0.840013, 0.670186, -0.127143
0.812212, -0.729931, -11.4926, 0.729656, 0.392265, -0.079902
0.765463, -0.653592, -10.88, 0.464628, 0.256635, -0.015848
0.821617, -0.710117, -10.9443, 0.609272, 0.273915, -0.037311
0.890186, -0.726241, -11.3503, 0.566145, 0.35503, -0.074744
0.872744, -0.648231, -11.1073, 0.249953, 0.444984, -0.031938
0.852489, -0.637608, -10.6806, 0.236269, 0.62638, -0.021159
0.893681, -0.718674, -11.243, 0.650631, 0.795999, -0.030836
0.93335, -0.751815, -11.7754, 0.852245, 0.921332, -0.007017
0.859692, -0.757665, -11.6781, 0.847745, 0.908871, 0.009179
0.87812, -0.781874, -12.0046, 0.912522, 0.839912, -0.020687
0.872558, -0.714722, -12.3266, 0.600815, 0.835117, -0.039366
0.82191, -0.682586, -11.893, 0.341739, 0.780398, -0.056739
0.783349, -0.720133, -11.5849, 0.346149, 0.699133, -0.074274
0.777844, -0.731249, -11.4451, 0.39617, 0.68785, -0.130797
0.773964, -0.770427, -11.4151, 0.771663, 0.790542, -0.11568
0.737382, -0.813853, -11.6501, 1.06764, 0.650451, -0.076998
0.746748, -0.76693, -11.9204, 1.07102, 0.535875, -0.011541
0.75751, -0.716858, -12.4441, 0.995342, 0.529135, 0.084208
0.77325, -0.677523, -12.5304, 0.901156, 0.445895, 0.031046
0.833901, -0.657598, -12.7557, 0.749845, 0.350647, -0.018698
0.907378, -0.592618, -12.7072, 0.471657, 0.410475, -0.025188
0.949332, -0.562017, -12.6856, 0.33841, 0.497221, -0.013535
0.956764, -0.607893, -12.1953, 0.415508, 0.495435, 0.014339
0.991162, -0.624888, -12.269, 0.504506, 0.552344, 0.039685
1.01993, -0.583907, -12.4298, 0.417992, 0.822957, 0.176902
0.969276, -0.631934, -12.0466, 0.548691, 0.945947, 0.093651
0.986765, -0.659198, -12.1971, 0.743008, 0.977456, -0.00161
0.999134, -0.630335, -12.4037, 0.765367, 1.04848, 0.037577
0.931606, -0.594257, -12.2213, 0.714602, 0.995604, 0.093252
0.945311, -0.580702, -12.5363, 0.777164, 0.93154, 0.043484
0.929359, -0.537648, -12.8762, 0.703995, 0.957533, 0.076788
0.909958, -0.49909, -12.9401, 0.526219, 0.953122, 0.133176
0.860721, -0.479549, -12.5131, 0.485427, 0.874244, 0.055182
0.847364, -0.460481, -12.5002, 0.575067, 0.720495, -0.020653
0.901893, -0.428157, -13.2413, 0.541438, 0.756639, -0.006779
0.873392, -0.383918, -12.9897, 0.408615, 0.796166, 0.019036
0.830967, -0.391511, -12.7498, 0.372584, 0.679561, 0.107228
0.876595, -0.358505, -12.9527, 0.248842, 0.608057, 0.067653
0.866148, -0.341372, -12.956, 0.079094, 0.87865, 0.062016
0.827517, -0.367083, -12.4017, 0.087493, 0.917616, -0.007602
0.800354, -0.381206, -12.4828, 0.134151, 0.901386, -0.043717
0.781298, -0.369285, -12.7948, 0.098821, 0.873085, 0.045729
0.716847, -0.396617, -12.6575, 0.12712, 0.71311, 0.120728
0.641269, -0.440738, -12.5428, 0.152086, 0.590615, 0.00296
0.6459, -0.474894, -12.7069, 0.171638, 0.535334, -0.052402
0.629445, -0.477233, -12.7594, 0.120459, 0.41998, -0.064243
0.598693, -0.495067, -12.1646, 0.18952, 0.208409, -0.058566
0.644479, -0.516877, -12.3823, 0.428758, 0.059488, -0.029223
0.729053, -0.504727, -12.7401, 0.488269, 0.188231, 0.003596
0.782524, -0.462433, -12.6688, 0.477398, 0.325337, 0.150668
0.878083, -0.435192, -12.7014, 0.397831, 0.485514, 0.17794
0.970003, -0.396549, -12.8361, 0.325818, 0.567434, 0.13403
1.06089, -0.342859, -12.9456, 0.217551, 0.61626, 0.060148
1.14499, -0.318871, -12.9521, 0.051887, 0.664666, -1e-06
1.20276, -0.303673, -12.6293, -0.077409, 0.714395, -0.023563
1.24794, -0.321623, -12.6581, -0.151811, 0.830438, -0.028407
1.28551, -0.34598, -12.4492, -0.25141, 0.98286, -0.020187
1.2111, -0.381245, -11.779, -0.197838, 1.08986, -0.047822
1.23044, -0.443756, -11.6315, 0.030651, 1.26168, -0.058823
1.22291, -0.453813, -11.4915, 0.163922, 1.32771, -0.031821
1.16085, -0.459628, -11.6208, 0.32124, 1.3099, -0.002221
1.2031, -0.443618, -12.2091, 0.31485, 1.3579, -0.006497
1.16186, -0.411764, -12.2333, 0.123197, 1.32572, 0.01901
1.11497, -0.402544, -11.941, 0.006032, 1.21684, -0.043056
1.13298, -0.400444, -11.9476, -0.039573, 1.12917, -0.06063
1.11016, -0.405427, -11.8589, 0.004848, 1.12908, -0.069073
1.13544, -0.466257, -11.7802, 0.323088, 1.20236, -0.029504
1.12472, -0.468378, -11.8297, 0.446128, 1.22893, -0.013018
1.09839, -0.464403, -11.8354, 0.522307, 1.21776, -0.012136
1.1175, -0.423044, -12.1963, 0.556879, 1.22431, -0.028561
1.1241, -0.385102, -12.7349, 0.450264, 1.31875, -0.042182
1.09703, -0.331082, -12.9752, 0.170006, 1.42158, -0.014765
0.950163, -0.281535, -12.2279, -0.053742, 1.20227, 0.00956
0.851841, -0.356408, -12.2624, 0.073843, 1.08884, -0.053386
0.823961, -0.387297, -12.7068, 0.063446, 0.977425, -0.13445
0.624607, -0.408393, -12.0706, 0.09125, 0.696669, -0.186193
0.511566, -0.510111, -11.6428, 0.35383, 0.456023, -0.233775
0.51349, -0.549172, -12.358, 0.466357, 0.401011, -0.198318
0.40314, -0.528173, -12.5003, 0.381781, 0.316407, -0.089645
0.350451, -0.533263, -12.1745, 0.358879, 0.163167, -0.034579
0.333312, -0.570508, -12.4743, 0.294946, 0.011619, -0.034496
0.324003, -0.576157, -12.6317, 0.202828, -0.041743, -0.044761
