Fx [N], Fy [N], Fz [N], Mx [Nm], My [Nm], Mz [Nm]
1.01741, 0.354151, -8.11439, -1.10768, 0.522004, -0.06246
1.04003, 0.3329, -8.12027, -1.08887, 0.618497, -0.053149
1.0723, 0.296765, -8.15649, -1.08675, 0.782164, -0.04408
1.085, 0.276495, -8.06826, -1.03484, 0.903714, -0.061033
1.0773, 0.259132, -8.15339, -1.01784, 0.983622, -0.086667
1.09146, 0.250081, -8.33649, -0.995539, 1.0311, -0.08278
1.08109, 0.243961, -8.46133, -0.963975, 1.05166, -0.089469
1.08751, 0.24788, -8.76304, -0.896417, 1.09407, -0.084053
1.10403, 0.254723, -9.05477, -0.820876, 1.18016, -0.078537
1.11273, 0.256564, -9.15111, -0.788348, 1.2319, -0.065936
1.11148, 0.291351, -9.5465, -0.815681, 1.28836, -9.1e-05
1.11353, 0.329241, -9.92519, -0.869142, 1.35877, 0.012602
1.06396, 0.362628, -10.1125, -0.922644, 1.31582, 0.015908
1.03583, 0.414246, -10.6724, -1.00553, 1.26736, 0.021126
1.0094, 0.474583, -11.2651, -1.17138, 1.23917, 0.020199
0.938524, 0.482883, -11.358, -1.2843, 1.1473, -0.072775
0.892992, 0.462386, -11.6541, -1.36424, 1.05756, -0.08465
0.87026, 0.450386, -12.0448, -1.37004, 1.0033, -0.094654
0.820978, 0.410627, -12.2869, -1.3192, 0.932647, -0.057798
0.786682, 0.378415, -12.7272, -1.23815, 0.913872, -0.061085
0.712619, 0.371406, -12.901, -1.13152, 0.84431, -0.034984
0.567428, 0.36191, -12.7316, -1.05958, 0.63805, 0.017425
0.419905, 0.394823, -13.2625, -1.10145, 0.399873, 0.019688
0.262157, 0.451133, -13.6828, -1.20708, 0.116386, 0.029718
0.085793, 0.437886, -13.3974, -1.23432, -0.169117, -0.030393
-0.05861, 0.406353, -13.5246, -1.14411, -0.469113, -0.107864
-0.158618, 0.449265, -13.9085, -1.07261, -0.681627, -0.110664
-0.249315, 0.51842, -14.2973, -1.08733, -0.884899, -0.128485
-0.31212, 0.612641, -14.9514, -1.13717, -1.07924, -0.031691
-0.376741, 0.778932, -16.1731, -1.3754, -1.14566, 0.036624
-0.339553, 0.881592, -16.211, -1.57445, -0.905746, 0.04004
